recording,iou_max,iou_0.60,iou_0.80
N100056,0.7917,0.9167,0.6667
N106834-edited,0.9286,0.6611,0.8369
N128080,0.6389,0.4792,0.5958
N16767-edited,0.9000,0.5792,0.8593
N22158-edited,0.8423,0.7597,0.8791
N22971-edited,0.6742,0.6992,0.6520
N23417-edited,0.8098,0.7817,0.8333
N23493-edited,0.5667,0.6733,0.5333
N250512,0.6667,0.3467,0.4444
N3568,0.9583,0.9231,0.9167
N37429,0.4333,0.3360,0.4667
N38268,0.8880,0.9583,0.8880
N38516,0.8933,0.8992,0.8711
N39306,0.8956,0.9049,0.9099
N41312-edited,0.7500,0.8571,0.7500
N41564,1.0000,0.6667,0.3333
N44587-edited,0.6667,0.6667,0.5556
N460551,0.9167,0.3467,1.0000
N488610,0.6250,0.7083,0.6250
N500951,0.6667,0.7222,0.6667
N6682-edited,0.8438,0.5819,0.7500
N737290,0.6111,0.4533,0.7333
N98507,0.6111,0.7778,0.3889
XC109766,0.9545,1.0000,0.7922
XC109767,0.9392,0.8427,0.8590
XC109769,0.9431,0.9262,0.9431
XC114554,0.8750,1.0000,0.7500
XC134014-edited,0.4683,0.5000,0.3968
XC144024,0.6667,0.6000,0.6667
XC159959,0.6869,0.7369,0.3988
XC172881,0.5000,0.8333,0.5000
XC215372,0.6111,0.5000,0.4444
XC271361,0.2000,0.3500,0.2500
XC801172-edited,0.9583,0.8690,0.9107
XC812929,0.5367,0.6727,0.4028
