class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.995,1.000,0.968,0.938,32,30.0,1.0
ALFL,0.986,0.999,1.000,0.696,46,32.0,0.0
AMBI,0.980,1.000,1.000,0.556,9,5.0,0.0
AMCR,0.861,0.990,1.000,0.320,25,8.0,0.0
AMRO,0.914,0.998,1.000,0.500,12,6.0,0.0
BADO,0.992,1.000,0.947,0.818,22,18.0,1.0
BBWA,0.948,1.000,1.000,0.500,6,3.0,0.0
BCCH,0.918,0.998,0.800,0.800,10,8.0,2.0
BEKI,0.879,0.965,1.000,0.625,8,5.0,0.0
BLJA,0.964,0.999,0.929,0.650,20,13.0,1.0
BRCR,1.000,1.000,1.000,0.929,14,13.0,0.0
BTNW,0.987,1.000,1.000,0.842,19,16.0,0.0
CANG,0.976,1.000,0.857,1.000,6,6.0,1.0
CEDW,0.909,0.995,1.000,0.478,23,11.0,0.0
CHSP,0.956,0.989,1.000,0.556,54,30.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,0.976,1.000,1.000,0.833,6,5.0,0.0
COYE,0.957,0.998,1.000,0.864,22,19.0,0.0
DEJU,0.771,0.979,1.000,0.727,11,8.0,0.0
EAKI,1.000,1.000,1.000,0.857,7,6.0,0.0
EATO,0.965,0.999,1.000,0.455,11,5.0,0.0
EAWP,0.980,0.999,0.962,0.833,30,25.0,1.0
FISP,0.981,1.000,1.000,0.667,12,8.0,0.0
GCKI,0.921,0.975,1.000,0.583,12,7.0,0.0
GHOW,0.834,0.966,1.000,0.107,28,3.0,0.0
HETH,0.532,0.864,1.000,0.186,43,8.0,0.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.997,1.000,1.000,0.696,23,16.0,0.0
NOFL,0.991,1.000,1.000,0.800,10,8.0,0.0
OVEN,0.991,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.989,1.000,1.000,0.385,13,5.0,0.0
RWBL,0.972,0.998,1.000,0.676,37,25.0,0.0
SWSP,0.912,0.989,1.000,0.487,39,19.0,0.0
SWTH,0.991,1.000,0.909,1.000,10,10.0,1.0
TEWA,0.895,0.986,1.000,0.478,46,22.0,0.0
TRUS,0.970,1.000,1.000,0.500,8,4.0,0.0
VEER,0.875,0.999,1.000,0.250,4,1.0,0.0
WAVI,0.919,0.994,1.000,0.600,10,6.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.950,0.996,1.000,0.548,31,17.0,0.0
WIWA,1.000,1.000,1.000,0.889,9,8.0,0.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,0.250,4,1.0,0.0
WTSP,0.820,0.963,1.000,0.349,43,15.0,0.0
YEWA,0.885,0.997,1.000,0.375,16,6.0,0.0
