recording,iou_max,iou_0.60,iou_0.80
N100056,0.7917,0.7917,0.5833
N106834-edited,0.9286,0.8705,0.7952
N128080,0.5781,0.5111,0.6562
N16767-edited,0.9667,0.9394,0.9333
N22158-edited,0.9267,0.8491,0.9228
N22971-edited,0.6742,0.7464,0.6520
N23417-edited,0.8098,0.7540,0.8535
N23493-edited,0.5733,0.7467,0.5333
N250512,0.6667,0.5167,0.5556
N3568,0.9583,0.8516,0.9583
N37429,0.5333,0.4333,0.5333
N38268,0.9213,0.8956,0.9213
N38516,0.9356,0.8636,0.8711
N39306,0.8956,0.9157,0.9075
N41312-edited,0.8333,0.8333,0.7500
N41564,0.5833,0.6667,0.1667
N44587-edited,0.5556,0.6111,0.3333
N460551,0.5278,0.2857,0.7500
N488610,0.7083,0.8542,0.6250
N500951,0.6667,0.8333,0.5000
N6682-edited,0.8693,0.7817,0.7812
N737290,0.7333,0.3889,0.7333
N98507,0.8889,0.7778,0.3889
XC109766,0.9545,0.8958,0.9545
XC109767,0.9295,0.9594,0.8833
XC109769,0.9221,0.9157,0.9431
XC114554,0.7500,1.0000,0.7500
XC134014-edited,0.6500,0.5889,0.3968
XC144024,0.6667,0.6667,0.6667
XC159959,0.8071,0.8929,0.7714
XC172881,0.8333,0.8333,0.8333
XC215372,0.7222,0.8889,0.6111
XC271361,0.2833,0.3500,0.3333
XC801172-edited,0.9583,0.9107,0.9167
XC812929,0.4829,0.7368,0.3444
