recording,iou_max,iou_0.60,iou_0.80
N100056,0.7917,0.9167,0.5000
N106834-edited,0.9083,0.8786,0.8250
N128080,0.4896,0.5111,0.5839
N16767-edited,0.9296,0.9000,1.0000
N22158-edited,0.9521,0.8697,0.9231
N22971-edited,0.6992,0.6992,0.6548
N23417-edited,0.8333,0.7906,0.8333
N23493-edited,0.6067,0.6067,0.5733
N250512,0.7778,0.6042,0.5556
N3568,0.8516,0.8571,0.9231
N37429,0.4667,0.3833,0.6667
N38268,0.9213,0.8889,0.9213
N38516,0.8956,0.8792,0.9306
N39306,0.9130,0.8556,0.8945
N41312-edited,0.8333,0.8333,0.7500
N41564,1.0000,0.8333,0.1667
N44587-edited,0.6111,0.7222,0.4444
N460551,0.5000,0.2000,0.7917
N488610,0.7083,0.7917,0.6250
N500951,0.5000,0.5000,0.5000
N6682-edited,0.8750,0.7528,0.7812
N737290,0.5657,0.5390,0.5833
N98507,0.7778,0.8889,0.6667
XC109766,0.9545,0.9583,0.7468
XC109767,0.9233,0.9774,0.7736
XC109769,0.9431,0.8976,0.9320
XC114554,1.0000,1.0000,0.7500
XC134014-edited,0.4683,0.3968,0.3968
XC144024,1.0000,0.7500,0.6667
XC159959,0.7675,0.8286,0.7655
XC172881,0.5000,0.8333,0.1667
XC215372,0.5833,0.5833,0.5556
XC271361,0.2667,0.2667,0.2000
XC801172-edited,0.9583,0.9583,0.9583
XC812929,0.4602,0.5208,0.3562
