threshold,precision,recall
0.287,0.738,0.885
0.288,0.739,0.885
0.289,0.738,0.884
0.290,0.740,0.884
0.291,0.742,0.884
0.292,0.744,0.884
0.293,0.745,0.883
0.294,0.746,0.883
0.295,0.747,0.883
0.297,0.747,0.883
0.298,0.748,0.883
0.299,0.750,0.883
0.300,0.750,0.883
0.301,0.752,0.882
0.302,0.754,0.882
0.303,0.753,0.881
0.305,0.754,0.881
0.306,0.755,0.879
0.307,0.756,0.878
0.309,0.757,0.878
0.310,0.757,0.878
0.311,0.760,0.878
0.312,0.761,0.876
0.313,0.763,0.876
0.314,0.764,0.875
0.315,0.765,0.875
0.316,0.766,0.874
0.317,0.769,0.874
0.318,0.772,0.873
0.319,0.772,0.873
0.321,0.775,0.873
0.322,0.776,0.873
0.323,0.776,0.873
0.324,0.778,0.873
0.325,0.779,0.873
0.326,0.780,0.873
0.327,0.782,0.873
0.328,0.783,0.873
0.329,0.786,0.873
0.330,0.788,0.873
0.331,0.788,0.873
0.332,0.789,0.873
0.333,0.789,0.871
0.334,0.790,0.870
0.335,0.790,0.870
0.336,0.791,0.868
0.338,0.792,0.868
0.339,0.793,0.868
0.340,0.794,0.868
0.341,0.797,0.868
0.342,0.799,0.868
0.343,0.801,0.867
0.344,0.802,0.867
0.345,0.803,0.867
0.346,0.803,0.866
0.348,0.804,0.866
0.349,0.806,0.866
0.350,0.807,0.863
0.353,0.808,0.863
0.354,0.809,0.862
0.355,0.810,0.862
0.356,0.810,0.861
0.357,0.811,0.861
0.358,0.811,0.860
0.359,0.810,0.859
0.360,0.811,0.859
0.361,0.812,0.858
0.362,0.812,0.856
0.364,0.812,0.855
0.365,0.812,0.855
0.366,0.816,0.855
0.367,0.818,0.855
0.368,0.818,0.854
0.369,0.820,0.853
0.370,0.822,0.853
0.371,0.826,0.853
0.372,0.825,0.852
0.373,0.827,0.852
0.375,0.828,0.852
0.376,0.831,0.851
0.377,0.831,0.850
0.378,0.831,0.850
0.379,0.831,0.848
0.380,0.832,0.848
0.381,0.834,0.848
0.382,0.835,0.848
0.383,0.835,0.846
0.384,0.834,0.845
0.386,0.836,0.845
0.387,0.837,0.844
0.388,0.839,0.844
0.389,0.840,0.844
0.391,0.841,0.844
0.392,0.842,0.844
0.393,0.844,0.844
0.395,0.846,0.843
0.396,0.846,0.842
0.397,0.847,0.842
