class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.993,1.000,1.000,0.938,32,30.0,0.0
ALFL,0.993,1.000,1.000,0.717,46,33.0,0.0
AMBI,0.857,0.997,1.000,0.556,9,5.0,0.0
AMCR,0.839,0.987,1.000,0.400,25,10.0,0.0
AMRO,0.936,0.999,1.000,0.583,12,7.0,0.0
BADO,0.987,1.000,0.944,0.773,22,17.0,1.0
BBWA,0.948,1.000,1.000,0.500,6,3.0,0.0
BCCH,0.946,0.999,0.889,0.800,10,8.0,1.0
BEKI,0.904,0.996,1.000,0.750,8,6.0,0.0
BLJA,0.964,0.997,1.000,0.700,20,14.0,0.0
BRCR,0.991,1.000,1.000,0.643,14,9.0,0.0
BTNW,0.975,0.999,1.000,0.789,19,15.0,0.0
CANG,0.976,1.000,0.857,1.000,6,6.0,1.0
CEDW,0.907,0.995,1.000,0.304,23,7.0,0.0
CHSP,0.983,0.997,1.000,0.574,54,31.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.971,0.999,1.000,0.818,22,18.0,0.0
DEJU,0.809,0.989,0.889,0.727,11,8.0,1.0
EAKI,1.000,1.000,1.000,0.857,7,6.0,0.0
EATO,1.000,1.000,1.000,0.636,11,7.0,0.0
EAWP,0.992,1.000,0.962,0.833,30,25.0,1.0
FISP,1.000,1.000,1.000,0.750,12,9.0,0.0
GCKI,0.943,0.998,1.000,0.333,12,4.0,0.0
GHOW,0.873,0.973,1.000,0.321,28,9.0,0.0
HETH,0.602,0.903,1.000,0.140,43,6.0,0.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.977,0.999,1.000,0.609,23,14.0,0.0
NOFL,0.991,1.000,1.000,0.900,10,9.0,0.0
OVEN,1.000,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.995,1.000,1.000,0.615,13,8.0,0.0
RWBL,0.957,0.997,1.000,0.676,37,25.0,0.0
SWSP,0.905,0.991,1.000,0.410,39,16.0,0.0
SWTH,1.000,1.000,0.909,1.000,10,10.0,1.0
TEWA,0.912,0.990,1.000,0.500,46,23.0,0.0
TRUS,1.000,1.000,1.000,0.500,8,4.0,0.0
VEER,1.000,1.000,1.000,0.500,4,2.0,0.0
WAVI,0.953,0.999,1.000,0.600,10,6.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.962,0.998,1.000,0.484,31,15.0,0.0
WIWA,0.989,1.000,0.889,0.889,9,8.0,1.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,0.250,4,1.0,0.0
WTSP,0.886,0.991,1.000,0.442,43,19.0,0.0
YEWA,0.894,0.996,1.000,0.375,16,6.0,0.0
