recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.8167,0.5000
N106834-edited,0.8869,0.9286,0.8750
N128080,1.0000,0.8667,0.8700
N16767-edited,0.8963,0.8394,0.8593
N22158-edited,0.9762,0.9299,0.9267
N22971-edited,0.6992,0.7278,0.6770
N23417-edited,0.8561,0.8561,0.8778
N23493-edited,0.7867,0.8600,0.6400
N250512,0.7778,0.8889,0.5556
N3568,0.9583,0.9615,0.9167
N37429,0.5417,0.5000,0.6250
N38268,0.8993,0.8993,0.8910
N38516,0.9178,0.8814,0.8933
N39306,0.9140,0.8864,0.9218
N41312-edited,0.8333,0.8333,0.7500
N41564,1.0000,0.7083,0.4167
N44587-edited,0.5556,0.6111,0.5556
N460551,0.8750,0.6667,0.8750
N488610,0.7917,0.8750,0.6250
N500951,0.6667,0.3333,0.6667
N6682-edited,0.7500,0.8125,0.7500
N737290,0.6389,0.5236,0.8000
N98507,0.8889,0.8056,0.6667
XC109766,0.9583,0.8958,0.8036
XC109767,0.9472,0.9310,0.8903
XC109769,0.9777,0.9491,0.9542
XC114554,1.0000,0.8000,0.8750
XC134014-edited,0.3857,0.4571,0.3968
XC144024,0.6667,0.6667,0.6667
XC159959,0.8071,0.8429,0.6500
XC172881,0.8333,0.8333,0.1667
XC215372,0.8889,0.8889,0.5556
XC271361,0.2500,0.4611,0.2500
XC801172-edited,0.9583,0.9583,0.9583
XC812929,0.7452,0.8810,0.6179
