threshold,true positive rate,false positive rate
0.015,1.000,1.000
0.018,1.000,1.000
0.019,1.000,1.000
0.020,1.000,1.000
0.021,1.000,0.999
0.022,1.000,0.999
0.023,1.000,0.997
0.024,1.000,0.995
0.025,1.000,0.990
0.026,1.000,0.981
0.027,1.000,0.968
0.028,1.000,0.947
0.029,1.000,0.915
0.030,1.000,0.874
0.031,1.000,0.818
0.032,1.000,0.756
0.033,1.000,0.688
0.034,1.000,0.624
0.035,1.000,0.563
0.036,1.000,0.507
0.037,1.000,0.454
0.038,1.000,0.410
0.039,0.999,0.371
0.040,0.998,0.338
0.041,0.998,0.309
0.042,0.998,0.283
0.043,0.998,0.260
0.044,0.998,0.241
0.045,0.998,0.225
0.046,0.998,0.210
0.047,0.997,0.198
0.048,0.994,0.186
0.049,0.994,0.177
0.050,0.994,0.167
0.051,0.994,0.159
0.052,0.993,0.151
0.053,0.993,0.145
0.054,0.991,0.139
0.055,0.991,0.133
0.056,0.989,0.129
0.057,0.989,0.123
0.058,0.989,0.118
0.059,0.987,0.114
0.060,0.987,0.111
0.061,0.987,0.107
0.062,0.985,0.103
0.063,0.984,0.100
0.064,0.984,0.097
0.065,0.984,0.094
0.066,0.984,0.091
0.067,0.982,0.089
0.068,0.980,0.086
0.069,0.979,0.083
0.070,0.979,0.081
0.071,0.977,0.079
0.072,0.974,0.077
0.073,0.972,0.075
0.074,0.972,0.073
0.075,0.971,0.072
0.076,0.970,0.070
0.077,0.970,0.069
0.078,0.969,0.067
0.079,0.969,0.066
0.080,0.969,0.064
0.081,0.969,0.063
0.082,0.969,0.062
0.083,0.969,0.061
0.084,0.968,0.059
0.085,0.967,0.058
0.086,0.967,0.057
0.087,0.967,0.055
0.088,0.967,0.054
0.089,0.967,0.054
0.090,0.967,0.052
0.091,0.966,0.052
0.092,0.966,0.051
0.093,0.963,0.050
0.094,0.963,0.049
0.095,0.962,0.048
0.096,0.962,0.048
0.097,0.961,0.047
0.098,0.961,0.046
0.099,0.961,0.045
0.100,0.960,0.044
0.101,0.960,0.044
0.102,0.960,0.043
0.103,0.960,0.043
0.104,0.960,0.042
0.105,0.959,0.041
0.106,0.959,0.041
0.107,0.956,0.040
0.108,0.956,0.040
0.109,0.956,0.039
0.110,0.955,0.038
0.111,0.955,0.038
0.112,0.954,0.037
0.113,0.951,0.037
0.114,0.951,0.036
0.115,0.949,0.036
0.116,0.949,0.035
0.117,0.948,0.035
0.118,0.948,0.034
0.119,0.948,0.034
0.120,0.948,0.034
0.121,0.948,0.033
0.122,0.948,0.033
0.123,0.947,0.033
0.124,0.947,0.032
