threshold,iou
0.0000,0.2381
0.0100,0.2381
0.0200,0.2383
0.0300,0.1905
0.0400,0.2456
0.0500,0.2748
0.0600,0.3123
0.0700,0.3399
0.0800,0.3906
0.0900,0.3753
0.1000,0.4015
0.1100,0.4300
0.1200,0.4409
0.1300,0.4729
0.1400,0.4873
0.1500,0.4959
0.1600,0.5111
0.1700,0.5166
0.1800,0.5343
0.1900,0.5500
0.2000,0.5622
0.2100,0.5856
0.2200,0.5645
0.2300,0.5946
0.2400,0.6213
0.2500,0.6309
0.2600,0.6391
0.2700,0.6508
0.2800,0.6573
0.2900,0.6747
0.3000,0.6751
0.3100,0.6867
0.3200,0.7014
0.3300,0.7017
0.3400,0.7171
0.3500,0.7261
0.3600,0.7233
0.3700,0.7240
0.3800,0.7377
0.3900,0.7553
0.4000,0.7410
0.4100,0.7707
0.4200,0.7752
0.4300,0.7797
0.4400,0.7755
0.4500,0.7815
0.4600,0.7901
0.4700,0.7863
0.4800,0.7878
0.4900,0.7888
0.5000,0.7920
0.5100,0.7842
0.5200,0.7922
0.5300,0.7932
0.5400,0.7927
0.5500,0.8033
0.5600,0.8021
0.5700,0.8003
0.5800,0.8028
0.5900,0.8049
0.6000,0.8020
0.6100,0.8100
0.6200,0.8115
0.6300,0.8111
0.6400,0.8078
0.6500,0.8167
0.6600,0.8196
0.6700,0.8250
0.6800,0.8236
0.6900,0.8257
0.7000,0.8164
0.7100,0.8195
0.7200,0.8109
0.7300,0.8050
0.7400,0.7913
0.7500,0.7908
0.7600,0.7875
0.7700,0.7761
0.7800,0.7596
0.7900,0.7544
0.8000,0.7480
0.8100,0.7312
0.8200,0.7220
0.8300,0.7195
0.8400,0.7183
0.8500,0.7119
0.8600,0.7020
0.8700,0.6901
0.8800,0.6692
0.8900,0.6526
0.9000,0.6004
0.9100,0.5445
0.9200,0.4846
0.9300,0.3873
0.9400,0.2899
0.9500,0.1889
0.9600,0.1203
0.9700,0.0392
0.9800,0.0059
0.9900,0.0021
1.0000,0.0000
