threshold,true positive rate,false positive rate
0.300,0.877,0.007
0.301,0.877,0.007
0.303,0.876,0.007
0.304,0.876,0.007
0.305,0.876,0.007
0.309,0.876,0.007
0.310,0.876,0.007
0.311,0.876,0.007
0.312,0.875,0.007
0.313,0.875,0.007
0.314,0.875,0.006
0.315,0.875,0.006
0.316,0.875,0.006
0.317,0.874,0.006
0.318,0.874,0.006
0.319,0.873,0.006
0.320,0.873,0.006
0.321,0.870,0.006
0.322,0.870,0.006
0.325,0.870,0.006
0.326,0.870,0.006
0.328,0.870,0.006
0.329,0.870,0.006
0.331,0.870,0.006
0.333,0.870,0.006
0.336,0.870,0.006
0.338,0.868,0.006
0.339,0.868,0.006
0.344,0.868,0.005
0.346,0.867,0.005
0.347,0.867,0.005
0.349,0.867,0.005
0.353,0.863,0.005
0.354,0.862,0.005
0.355,0.862,0.005
0.356,0.861,0.005
0.357,0.861,0.005
0.358,0.860,0.005
0.359,0.860,0.005
0.360,0.859,0.005
0.362,0.856,0.005
0.365,0.856,0.005
0.366,0.856,0.005
0.367,0.855,0.005
0.368,0.855,0.005
0.369,0.855,0.005
0.375,0.855,0.005
0.376,0.855,0.005
0.377,0.855,0.005
0.378,0.855,0.004
0.379,0.854,0.004
0.380,0.854,0.004
0.381,0.854,0.004
0.383,0.853,0.004
0.387,0.853,0.004
0.388,0.852,0.004
0.389,0.852,0.004
0.391,0.851,0.004
0.393,0.848,0.004
0.395,0.847,0.004
0.397,0.845,0.004
0.398,0.845,0.004
0.402,0.843,0.004
0.404,0.843,0.004
0.405,0.842,0.004
0.408,0.842,0.004
0.409,0.840,0.004
0.410,0.838,0.004
0.412,0.838,0.004
0.414,0.837,0.004
0.415,0.837,0.004
0.419,0.837,0.004
0.423,0.837,0.004
0.425,0.836,0.003
0.430,0.834,0.003
0.431,0.834,0.003
0.432,0.834,0.003
0.435,0.834,0.003
0.437,0.832,0.003
0.438,0.832,0.003
0.439,0.832,0.003
0.440,0.831,0.003
0.442,0.831,0.003
0.443,0.830,0.003
0.448,0.830,0.003
0.449,0.829,0.003
0.452,0.829,0.003
0.453,0.829,0.003
0.454,0.828,0.003
0.455,0.827,0.003
0.456,0.825,0.003
0.458,0.824,0.003
0.459,0.823,0.003
0.463,0.822,0.003
0.464,0.821,0.003
0.465,0.820,0.003
0.466,0.819,0.003
0.467,0.815,0.002
0.472,0.815,0.002
0.476,0.814,0.002
0.477,0.814,0.002
0.478,0.814,0.002
0.481,0.812,0.002
0.483,0.811,0.002
0.484,0.811,0.002
0.485,0.809,0.002
0.486,0.809,0.002
0.487,0.808,0.002
0.488,0.807,0.002
0.490,0.806,0.002
0.493,0.805,0.002
0.494,0.804,0.002
0.498,0.804,0.002
0.501,0.804,0.002
0.502,0.804,0.002
0.506,0.803,0.002
0.510,0.803,0.002
0.512,0.803,0.002
0.515,0.800,0.002
0.519,0.800,0.002
0.520,0.799,0.002
0.521,0.798,0.002
0.525,0.798,0.002
0.529,0.796,0.002
0.534,0.793,0.002
0.537,0.791,0.002
0.541,0.791,0.002
0.542,0.790,0.002
0.545,0.790,0.002
0.551,0.790,0.001
0.553,0.790,0.001
0.554,0.789,0.001
0.555,0.789,0.001
0.559,0.786,0.001
0.563,0.786,0.001
0.564,0.784,0.001
0.566,0.783,0.001
0.568,0.781,0.001
0.569,0.781,0.001
0.571,0.780,0.001
0.572,0.777,0.001
0.574,0.775,0.001
0.577,0.773,0.001
0.588,0.773,0.001
0.590,0.772,0.001
0.591,0.770,0.001
0.595,0.769,0.001
0.596,0.767,0.001
0.599,0.767,0.001
0.600,0.766,0.001
0.602,0.766,0.001
0.604,0.765,0.001
0.605,0.762,0.001
0.609,0.760,0.001
0.617,0.755,0.001
0.624,0.755,0.001
0.628,0.753,0.001
0.631,0.752,0.001
0.633,0.750,0.001
0.641,0.750,0.001
0.656,0.744,0.001
0.659,0.744,0.001
0.663,0.744,0.001
0.665,0.743,0.001
0.667,0.741,0.001
0.672,0.739,0.001
0.674,0.737,0.001
0.676,0.737,0.001
0.681,0.735,0.001
0.689,0.731,0.001
0.691,0.731,0.001
0.693,0.727,0.001
0.694,0.724,0.001
0.695,0.723,0.001
0.700,0.721,0.001
0.701,0.718,0.001
0.702,0.716,0.001
0.703,0.715,0.001
0.704,0.715,0.000
0.706,0.713,0.000
0.707,0.712,0.000
0.708,0.711,0.000
0.710,0.710,0.000
0.711,0.707,0.000
0.712,0.703,0.000
0.713,0.701,0.000
0.717,0.701,0.000
0.720,0.699,0.000
0.725,0.696,0.000
0.726,0.696,0.000
0.728,0.693,0.000
0.730,0.691,0.000
0.731,0.691,0.000
0.732,0.690,0.000
0.735,0.685,0.000
0.736,0.684,0.000
0.739,0.682,0.000
0.742,0.679,0.000
0.743,0.677,0.000
0.744,0.675,0.000
0.748,0.674,0.000
0.751,0.669,0.000
0.753,0.662,0.000
0.754,0.660,0.000
0.755,0.660,0.000
0.757,0.658,0.000
0.758,0.658,0.000
0.761,0.654,0.000
0.764,0.648,0.000
0.777,0.639,0.000
0.778,0.637,0.000
0.781,0.634,0.000
0.797,0.625,0.000
0.798,0.623,0.000
0.801,0.621,0.000
0.802,0.619,0.000
0.803,0.617,0.000
0.804,0.614,0.000
0.811,0.610,0.000
0.812,0.607,0.000
0.813,0.606,0.000
0.814,0.604,0.000
0.815,0.603,0.000
0.822,0.598,0.000
0.823,0.597,0.000
0.824,0.595,0.000
0.825,0.594,0.000
0.826,0.591,0.000
0.828,0.590,0.000
0.829,0.588,0.000
0.833,0.586,0.000
0.835,0.581,0.000
0.836,0.580,0.000
0.837,0.577,0.000
0.838,0.576,0.000
0.841,0.574,0.000
0.844,0.571,0.000
0.845,0.569,0.000
0.847,0.566,0.000
0.848,0.564,0.000
0.849,0.560,0.000
0.850,0.558,0.000
0.852,0.556,0.000
0.853,0.553,0.000
0.854,0.552,0.000
0.855,0.550,0.000
0.858,0.546,0.000
0.860,0.544,0.000
0.861,0.541,0.000
0.864,0.538,0.000
0.866,0.534,0.000
0.869,0.529,0.000
0.870,0.528,0.000
0.871,0.526,0.000
0.872,0.525,0.000
0.873,0.521,0.000
0.874,0.519,0.000
0.877,0.517,0.000
0.878,0.514,0.000
0.879,0.513,0.000
0.880,0.511,0.000
0.882,0.505,0.000
0.883,0.502,0.000
0.886,0.493,0.000
0.887,0.490,0.000
0.889,0.487,0.000
0.890,0.486,0.000
0.891,0.481,0.000
0.892,0.480,0.000
0.893,0.476,0.000
0.894,0.470,0.000
0.895,0.466,0.000
0.896,0.465,0.000
0.897,0.463,0.000
0.898,0.459,0.000
0.899,0.457,0.000
0.900,0.456,0.000
0.902,0.451,0.000
0.903,0.447,0.000
0.906,0.440,0.000
0.907,0.435,0.000
0.908,0.434,0.000
0.909,0.429,0.000
0.910,0.426,0.000
0.911,0.420,0.000
0.913,0.413,0.000
0.914,0.412,0.000
0.915,0.408,0.000
0.916,0.405,0.000
0.917,0.398,0.000
0.919,0.389,0.000
0.920,0.381,0.000
0.922,0.374,0.000
0.924,0.358,0.000
0.925,0.348,0.000
0.926,0.341,0.000
0.927,0.336,0.000
0.928,0.331,0.000
0.929,0.327,0.000
0.930,0.323,0.000
0.931,0.320,0.000
0.932,0.311,0.000
0.933,0.307,0.000
0.934,0.299,0.000
0.935,0.295,0.000
0.936,0.288,0.000
0.937,0.280,0.000
0.938,0.270,0.000
0.939,0.261,0.000
0.940,0.253,0.000
0.941,0.243,0.000
0.942,0.238,0.000
0.943,0.230,0.000
0.944,0.228,0.000
0.945,0.218,0.000
0.947,0.202,0.000
0.948,0.200,0.000
0.949,0.194,0.000
0.950,0.185,0.000
0.951,0.178,0.000
0.952,0.170,0.000
0.953,0.163,0.000
0.954,0.153,0.000
0.955,0.147,0.000
0.956,0.137,0.000
0.957,0.130,0.000
0.958,0.125,0.000
0.959,0.118,0.000
0.960,0.115,0.000
0.961,0.109,0.000
0.962,0.101,0.000
0.963,0.096,0.000
0.964,0.086,0.000
0.966,0.075,0.000
0.967,0.067,0.000
0.968,0.061,0.000
0.969,0.056,0.000
0.970,0.048,0.000
0.971,0.044,0.000
0.972,0.041,0.000
0.973,0.038,0.000
0.974,0.031,0.000
0.975,0.029,0.000
0.976,0.025,0.000
0.977,0.018,0.000
0.978,0.015,0.000
0.979,0.014,0.000
0.980,0.011,0.000
0.981,0.007,0.000
0.987,0.001,0.000
