threshold,iou
0.0000,0.2312
0.0100,0.2312
0.0200,0.2312
0.0300,0.2742
0.0400,0.3618
0.0500,0.3826
0.0600,0.3907
0.0700,0.3921
0.0800,0.3939
0.0900,0.3999
0.1000,0.4010
0.1100,0.4010
0.1200,0.4046
0.1300,0.4046
0.1400,0.4046
0.1500,0.4090
0.1600,0.4094
0.1700,0.4094
0.1800,0.4111
0.1900,0.4111
0.2000,0.4111
0.2100,0.4111
0.2200,0.4111
0.2300,0.4111
0.2400,0.4111
0.2500,0.4084
0.2600,0.4116
0.2700,0.4117
0.2800,0.4117
0.2900,0.4139
0.3000,0.4139
0.3100,0.4112
0.3200,0.4112
0.3300,0.4112
0.3400,0.4112
0.3500,0.4112
0.3600,0.4112
0.3700,0.4112
0.3800,0.4112
0.3900,0.4112
0.4000,0.4112
0.4100,0.4112
0.4200,0.4112
0.4300,0.4112
0.4400,0.4112
0.4500,0.4112
0.4600,0.4112
0.4700,0.4112
0.4800,0.4112
0.4900,0.4112
0.5000,0.4112
0.5100,0.4077
0.5200,0.4077
0.5300,0.4077
0.5400,0.4077
0.5500,0.4069
0.5600,0.4069
0.5700,0.4069
0.5800,0.4069
0.5900,0.4121
0.6000,0.4121
0.6100,0.4121
0.6200,0.4121
0.6300,0.4121
0.6400,0.4072
0.6500,0.4072
0.6600,0.4072
0.6700,0.4072
0.6800,0.4072
0.6900,0.4072
0.7000,0.4072
0.7100,0.4072
0.7200,0.4072
0.7300,0.4087
0.7400,0.4108
0.7500,0.4108
0.7600,0.4108
0.7700,0.4046
0.7800,0.4053
0.7900,0.4023
0.8000,0.4023
0.8100,0.4023
0.8200,0.4049
0.8300,0.4074
0.8400,0.4036
0.8500,0.4036
0.8600,0.3954
0.8700,0.3911
0.8800,0.3834
0.8900,0.3620
0.9000,0.3438
0.9100,0.2522
0.9200,0.1322
0.9300,0.0418
0.9400,0.0138
0.9500,0.0074
0.9600,0.0074
0.9700,0.0043
0.9800,0.0000
0.9900,0.0000
1.0000,0.0000
