threshold,iou
0.0000,0.2381
0.0100,0.0945
0.0200,0.1057
0.0300,0.4603
0.0400,0.5894
0.0500,0.6431
0.0600,0.6816
0.0700,0.7175
0.0800,0.7361
0.0900,0.7426
0.1000,0.7463
0.1100,0.7453
0.1200,0.7583
0.1300,0.7522
0.1400,0.7553
0.1500,0.7559
0.1600,0.7533
0.1700,0.7517
0.1800,0.7513
0.1900,0.7556
0.2000,0.7591
0.2100,0.7606
0.2200,0.7602
0.2300,0.7620
0.2400,0.7592
0.2500,0.7590
0.2600,0.7596
0.2700,0.7620
0.2800,0.7620
0.2900,0.7590
0.3000,0.7588
0.3100,0.7563
0.3200,0.7572
0.3300,0.7558
0.3400,0.7558
0.3500,0.7552
0.3600,0.7552
0.3700,0.7615
0.3800,0.7601
0.3900,0.7588
0.4000,0.7596
0.4100,0.7596
0.4200,0.7593
0.4300,0.7593
0.4400,0.7560
0.4500,0.7546
0.4600,0.7553
0.4700,0.7510
0.4800,0.7487
0.4900,0.7478
0.5000,0.7478
0.5100,0.7476
0.5200,0.7453
0.5300,0.7440
0.5400,0.7411
0.5500,0.7340
0.5600,0.7311
0.5700,0.7290
0.5800,0.7260
0.5900,0.7235
0.6000,0.7227
0.6100,0.7217
0.6200,0.7205
0.6300,0.7185
0.6400,0.7126
0.6500,0.7076
0.6600,0.7047
0.6700,0.6995
0.6800,0.6993
0.6900,0.6955
0.7000,0.6929
0.7100,0.6861
0.7200,0.6793
0.7300,0.6674
0.7400,0.6495
0.7500,0.6295
0.7600,0.5957
0.7700,0.5392
0.7800,0.4862
0.7900,0.4497
0.8000,0.4092
0.8100,0.3774
0.8200,0.3735
0.8300,0.3716
0.8400,0.3655
0.8500,0.3617
0.8600,0.3580
0.8700,0.3571
0.8800,0.3516
0.8900,0.3291
0.9000,0.3137
0.9100,0.3049
0.9200,0.2845
0.9300,0.2702
0.9400,0.2128
0.9500,0.1518
0.9600,0.0906
0.9700,0.0153
0.9800,0.0000
0.9900,0.0000
1.0000,0.0000
