recording,iou_max,iou_0.60,iou_0.80
N100056,0.6250,0.7083,0.5000
N106834-edited,0.7952,0.8869,0.8250
N128080,0.5111,0.5000,0.5349
N16767-edited,0.9091,0.8222,0.8963
N22158-edited,0.9487,0.6205,0.9487
N22971-edited,0.6992,0.7528,0.6520
N23417-edited,0.8098,0.8098,0.8535
N23493-edited,0.6467,0.7800,0.5733
N250512,0.6667,0.5139,0.4444
N3568,0.8869,0.9286,0.9583
N37429,0.4333,0.3733,0.4667
N38268,0.8889,0.8956,0.8889
N38516,0.8636,0.8385,0.8933
N39306,0.8967,0.7108,0.8945
N41312-edited,0.7500,0.8333,0.6667
N41564,0.8333,0.8333,0.1667
N44587-edited,0.6667,0.7778,0.5556
N460551,0.4333,0.3086,0.5833
N488610,0.6250,0.8750,0.6250
N500951,0.5000,0.6667,0.5000
N6682-edited,0.8785,0.5987,0.7500
N737290,0.5524,0.4167,0.6806
N98507,0.8889,0.7778,0.3889
XC109766,0.9545,1.0000,0.8636
XC109767,0.9441,0.9399,0.8799
XC109769,0.9221,0.9777,0.9320
XC114554,0.8750,1.0000,0.7500
XC134014-edited,0.5952,0.6375,0.3968
XC144024,0.6667,0.5000,0.6667
XC159959,0.8071,0.8929,0.7952
XC172881,0.5000,0.8333,0.0000
XC215372,0.6111,0.5833,0.6111
XC271361,0.2500,0.2833,0.2500
XC801172-edited,0.9107,0.9583,0.8135
XC812929,0.6639,0.7817,0.2905
