threshold,iou
0.0000,0.2381
0.0100,0.2381
0.0200,0.2359
0.0300,0.1845
0.0400,0.2298
0.0500,0.2847
0.0600,0.3202
0.0700,0.3325
0.0800,0.3524
0.0900,0.3642
0.1000,0.3708
0.1100,0.3796
0.1200,0.3895
0.1300,0.4244
0.1400,0.4532
0.1500,0.4924
0.1600,0.5064
0.1700,0.5099
0.1800,0.5127
0.1900,0.5195
0.2000,0.5368
0.2100,0.5479
0.2200,0.5511
0.2300,0.5468
0.2400,0.5376
0.2500,0.5397
0.2600,0.5407
0.2700,0.5479
0.2800,0.5525
0.2900,0.5762
0.3000,0.5861
0.3100,0.5874
0.3200,0.6015
0.3300,0.5980
0.3400,0.6038
0.3500,0.6110
0.3600,0.6166
0.3700,0.6277
0.3800,0.6273
0.3900,0.6213
0.4000,0.6349
0.4100,0.6496
0.4200,0.6405
0.4300,0.6342
0.4400,0.6326
0.4500,0.6405
0.4600,0.6456
0.4700,0.6451
0.4800,0.6642
0.4900,0.6634
0.5000,0.6561
0.5100,0.6617
0.5200,0.6790
0.5300,0.6944
0.5400,0.6950
0.5500,0.7022
0.5600,0.7096
0.5700,0.7148
0.5800,0.7159
0.5900,0.7171
0.6000,0.7232
0.6100,0.7299
0.6200,0.7313
0.6300,0.7324
0.6400,0.7303
0.6500,0.7170
0.6600,0.7213
0.6700,0.7256
0.6800,0.7307
0.6900,0.7217
0.7000,0.7198
0.7100,0.7155
0.7200,0.7153
0.7300,0.7339
0.7400,0.7271
0.7500,0.7214
0.7600,0.7170
0.7700,0.6989
0.7800,0.6907
0.7900,0.6823
0.8000,0.6734
0.8100,0.6732
0.8200,0.6673
0.8300,0.6711
0.8400,0.6660
0.8500,0.6540
0.8600,0.6472
0.8700,0.6439
0.8800,0.6408
0.8900,0.6273
0.9000,0.6124
0.9100,0.5749
0.9200,0.5332
0.9300,0.4541
0.9400,0.3281
0.9500,0.2283
0.9600,0.1549
0.9700,0.0775
0.9800,0.0431
0.9900,0.0021
1.0000,0.0000
