threshold,iou
0.0000,0.2184
0.0100,0.2184
0.0200,0.2216
0.0300,0.2404
0.0400,0.2645
0.0500,0.2897
0.0600,0.2898
0.0700,0.3032
0.0800,0.3055
0.0900,0.3057
0.1000,0.3064
0.1100,0.3064
0.1200,0.3064
0.1300,0.3064
0.1400,0.3061
0.1500,0.3085
0.1600,0.3085
0.1700,0.3094
0.1800,0.3099
0.1900,0.3099
0.2000,0.3099
0.2100,0.3058
0.2200,0.3058
0.2300,0.3058
0.2400,0.3067
0.2500,0.3067
0.2600,0.3067
0.2700,0.3067
0.2800,0.3076
0.2900,0.3084
0.3000,0.3084
0.3100,0.3070
0.3200,0.3099
0.3300,0.3107
0.3400,0.3107
0.3500,0.3107
0.3600,0.3107
0.3700,0.3107
0.3800,0.3111
0.3900,0.3120
0.4000,0.3134
0.4100,0.3134
0.4200,0.3134
0.4300,0.3134
0.4400,0.3134
0.4500,0.3134
0.4600,0.3134
0.4700,0.3134
0.4800,0.3134
0.4900,0.3134
0.5000,0.3134
0.5100,0.3134
0.5200,0.3134
0.5300,0.3154
0.5400,0.3154
0.5500,0.3164
0.5600,0.3173
0.5700,0.3173
0.5800,0.3173
0.5900,0.3173
0.6000,0.3173
0.6100,0.3183
0.6200,0.3183
0.6300,0.3183
0.6400,0.3154
0.6500,0.3154
0.6600,0.3154
0.6700,0.3116
0.6800,0.3116
0.6900,0.3116
0.7000,0.3116
0.7100,0.3116
0.7200,0.3116
0.7300,0.3116
0.7400,0.3142
0.7500,0.3142
0.7600,0.3142
0.7700,0.3142
0.7800,0.3142
0.7900,0.3142
0.8000,0.3173
0.8100,0.3198
0.8200,0.3201
0.8300,0.3212
0.8400,0.3264
0.8500,0.3289
0.8600,0.3227
0.8700,0.3242
0.8800,0.3222
0.8900,0.3199
0.9000,0.3286
0.9100,0.3213
0.9200,0.2985
0.9300,0.2655
0.9400,0.2428
0.9500,0.2055
0.9600,0.1991
0.9700,0.1416
0.9800,0.0975
0.9900,0.0415
1.0000,0.0000
