recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,0.8155,0.8155,0.8667
N128080,0.5111,0.5000,0.5116
N16767-edited,0.7980,0.8283,0.9630
N22158-edited,0.6473,0.6473,0.9228
N22971-edited,0.5332,0.5707,0.6742
N23417-edited,0.8333,0.7906,0.8535
N23493-edited,0.7133,0.7133,0.5667
N250512,0.6806,0.5833,0.4444
N3568,0.8516,0.8516,0.9167
N37429,0.5500,0.5038,0.5417
N38268,0.9583,0.9583,0.9213
N38516,0.9156,0.9156,0.9111
N39306,0.9537,0.7947,0.9099
N41312-edited,0.7857,0.7321,0.8333
N41564,0.6250,0.6250,0.3333
N44587-edited,0.6667,0.6667,0.3333
N460551,0.1361,0.1361,0.3333
N488610,0.7708,0.7292,0.6250
N500951,0.6667,0.6667,0.1667
N6682-edited,0.8136,0.8448,0.7500
N737290,0.4325,0.4556,0.7333
N98507,0.7778,0.5833,0.5000
XC109766,0.9545,0.9167,0.8182
XC109767,0.9226,0.8435,0.8448
XC109769,0.7870,0.7718,0.9320
XC114554,1.0000,1.0000,0.7500
XC134014-edited,0.6286,0.7000,0.3968
XC144024,0.6667,0.6667,0.3333
XC159959,0.8869,0.8571,0.4631
XC172881,0.8333,0.8333,0.0000
XC215372,0.6667,0.6667,0.4444
XC271361,0.2000,0.2667,0.2500
XC801172-edited,0.9583,0.9583,0.7738
XC812929,0.8194,0.7903,0.3667
