recording,iou_max,iou_0.60,iou_0.80
N100056,0.8167,0.8167,0.5833
N106834-edited,0.8869,0.8869,0.8250
N128080,0.7267,0.6617,0.9167
N16767-edited,0.8963,0.8690,0.9259
N22158-edited,0.9119,0.8899,0.9286
N22971-edited,0.7528,0.7778,0.6770
N23417-edited,0.8838,0.9419,0.8778
N23493-edited,0.7133,0.7867,0.6733
N250512,0.6667,0.6667,0.5556
N3568,0.9583,0.9615,0.9583
N37429,0.9167,0.9167,0.6250
N38268,0.9024,0.8721,0.8917
N38516,0.9178,0.9014,0.9133
N39306,0.8740,0.8524,0.8956
N41312-edited,0.8333,0.8333,0.7500
N41564,1.0000,0.7083,0.4167
N44587-edited,0.6111,0.5556,0.4444
N460551,0.3917,0.3375,0.8750
N488610,0.9375,0.8750,0.6250
N500951,0.8333,0.5556,0.8333
N6682-edited,0.9375,0.9688,0.7812
N737290,0.5800,0.5300,0.8000
N98507,0.8889,0.8889,0.6667
XC109766,0.8472,0.8472,0.8466
XC109767,0.9381,0.8853,0.9597
XC109769,0.8991,0.8548,0.9659
XC114554,0.8000,0.7273,0.8750
XC134014-edited,0.5286,0.5286,0.3968
XC144024,1.0000,0.7500,0.6667
XC159959,0.9286,0.9286,0.7714
XC172881,0.7143,0.7143,0.5000
XC215372,0.8889,0.7778,0.6111
XC271361,0.3667,0.4333,0.2500
XC801172-edited,0.9583,0.9167,0.9583
XC812929,0.8929,0.8929,0.6536
