recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5833
N106834-edited,0.8458,0.8458,0.8250
N128080,0.5000,0.5000,0.7094
N16767-edited,0.9333,0.9333,0.8519
N22158-edited,0.9246,0.9246,0.8474
N22971-edited,0.6731,0.6731,0.6742
N23417-edited,0.8598,0.8598,0.8111
N23493-edited,0.7800,0.7800,0.6400
N250512,0.6806,0.6806,0.5556
N3568,0.8615,0.8615,0.9583
N37429,0.6042,0.6042,0.4000
N38268,0.9583,0.9583,0.8880
N38516,0.8740,0.8740,0.8906
N39306,0.8661,0.8661,0.8932
N41312-edited,0.7738,0.7738,0.8333
N41564,0.7143,0.7143,0.2000
N44587-edited,0.6667,0.6667,0.3333
N460551,0.7917,0.7917,1.0000
N488610,0.8542,0.8542,0.6250
N500951,0.5000,0.5000,0.3333
N6682-edited,0.9688,0.9688,0.7500
N737290,0.5694,0.5694,0.7333
N98507,0.7778,0.7778,0.5556
XC109766,0.9583,0.9583,0.9167
XC109767,0.9333,0.9333,0.8868
XC109769,0.9682,0.9682,0.9331
XC114554,1.0000,1.0000,0.7500
XC134014-edited,0.6500,0.6500,0.4683
XC144024,0.7500,0.7500,0.6667
XC159959,0.7804,0.7804,0.4202
XC172881,0.5556,0.5556,0.8333
XC215372,0.7222,0.7222,0.6111
XC271361,0.3333,0.3333,0.2500
XC801172-edited,0.9583,0.9583,0.8552
XC812929,0.8111,0.8111,0.6083
