recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.8333,0.5000
N106834-edited,0.9167,0.7917,0.5667
N128080,0.7500,0.6600,0.5400
N16767-edited,0.9259,0.7315,0.5000
N22158-edited,0.9267,0.7424,0.4396
N22971-edited,0.6798,0.6520,0.5067
N23417-edited,0.8833,0.7667,0.4207
N23493-edited,0.8267,0.6067,0.5000
N250512,0.6667,0.6667,0.5556
N3568,0.9167,0.8333,0.6250
N37429,0.6667,0.8333,0.7500
N38268,0.8556,0.8463,0.5565
N38516,0.7463,0.8067,0.5694
N39306,0.9240,0.8800,0.5104
N41312-edited,0.9167,0.6667,0.5000
N41564,0.4167,0.5000,0.3333
N44587-edited,0.3333,0.3611,0.3056
N460551,0.4583,0.5833,0.7083
N488610,0.5000,0.4792,0.3125
N500951,0.5556,0.6667,0.5000
N6682-edited,0.8507,0.7500,0.5625
N737290,0.4333,0.3667,0.3500
N98507,0.5556,0.5556,0.4444
XC109766,0.8125,0.6667,0.3810
XC109767,0.8724,0.6898,0.4049
XC109769,0.6286,0.8462,0.5468
XC114554,0.8889,0.7778,0.5000
XC134014-edited,0.4571,0.2643,0.2698
XC144024,0.5000,0.6667,0.3333
XC159959,0.8726,0.5964,0.2524
XC172881,0.7143,0.2857,0.0000
XC215372,0.6667,0.6667,0.3889
XC271361,0.5556,0.3611,0.1667
XC801172-edited,0.7242,0.5377,0.3849
XC812929,0.6762,0.5905,0.4131
