recording,iou_max,iou_0.60,iou_0.80
N100056,0.7917,0.9167,0.5000
N106834-edited,0.8250,0.9643,0.7417
N128080,0.5000,0.5000,0.6109
N16767-edited,0.9333,0.9296,0.8889
N22158-edited,0.8851,0.6473,0.8254
N22971-edited,0.6992,0.6065,0.6992
N23417-edited,0.8561,0.7741,0.8778
N23493-edited,0.6067,0.6400,0.5667
N250512,0.5873,0.5104,0.5556
N3568,0.8869,0.8869,0.9583
N37429,0.4667,0.4722,0.6667
N38268,0.8956,0.8956,0.9213
N38516,0.9156,0.8540,0.8511
N39306,0.7511,0.8399,0.8967
N41312-edited,0.8333,0.8333,0.7500
N41564,1.0000,0.5476,0.3333
N44587-edited,0.4444,0.5000,0.3333
N460551,0.5333,0.2952,0.7000
N488610,0.6250,0.7083,0.3750
N500951,0.6667,0.6667,0.5000
N6682-edited,0.8750,0.7111,0.7500
N737290,0.4571,0.3690,0.6800
N98507,0.6667,0.7778,0.5000
XC109766,0.9545,0.9545,0.7922
XC109767,0.9635,0.9524,0.8660
XC109769,0.9221,0.7695,0.9320
XC114554,1.0000,0.8889,0.8750
XC134014-edited,0.5286,0.4333,0.3968
XC144024,0.6667,0.5000,0.6667
XC159959,0.7238,0.8512,0.5631
XC172881,0.0000,0.6667,0.0000
XC215372,0.6111,0.6111,0.2778
XC271361,0.2000,0.2667,0.2500
XC801172-edited,0.9107,0.9107,0.8690
XC812929,0.5661,0.5720,0.3911
