recording,iou_max,iou_0.60,iou_0.80
N100056,0.4444,0.5500,0.4444
N106834-edited,0.7333,0.4301,0.7244
N128080,0.5227,0.4792,0.5227
N16767-edited,0.8667,0.5923,0.8667
N22158-edited,0.8423,0.5056,0.8423
N22971-edited,0.6157,0.5802,0.6208
N23417-edited,0.8056,0.7049,0.8056
N23493-edited,0.7167,0.5000,0.7167
N250512,0.6667,0.4333,0.6667
N3568,0.9231,0.7500,0.9231
N37429,0.3167,0.2452,0.3167
N38268,0.7869,0.6448,0.7869
N38516,0.7255,0.5423,0.7321
N39306,0.7985,0.5729,0.7985
N41312-edited,0.6349,0.5500,0.6349
N41564,0.0000,0.3542,0.0000
N44587-edited,0.3333,0.3750,0.3333
N460551,0.4167,0.1360,0.4167
N488610,0.6250,0.5104,0.6250
N500951,0.1667,0.1938,0.1667
N6682-edited,0.7037,0.6000,0.6875
N737290,0.5389,0.2881,0.4556
N98507,0.6111,0.4167,0.6111
XC109766,0.8958,0.5243,0.8958
XC109767,0.8812,0.5373,0.7821
XC109769,0.8380,0.6657,0.8380
XC114554,1.0000,0.6667,1.0000
XC134014-edited,0.4683,0.5318,0.3968
XC144024,0.6667,0.5000,0.6667
XC159959,0.7798,0.6500,0.7857
XC172881,0.6250,0.5000,0.6250
XC215372,0.1923,0.2500,0.1923
XC271361,0.2000,0.3833,0.2000
XC801172-edited,0.9583,0.6167,0.9583
XC812929,0.5000,0.5217,0.5000
