class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.999,1.000,1.000,0.906,32,29.0,0.0
ALFL,0.980,0.999,1.000,0.739,46,34.0,0.0
AMBI,0.954,0.999,1.000,0.556,9,5.0,0.0
AMCR,0.828,0.990,1.000,0.400,25,10.0,0.0
AMRO,0.923,0.998,1.000,0.583,12,7.0,0.0
BADO,0.994,1.000,1.000,0.818,22,18.0,0.0
BBWA,0.829,0.998,1.000,0.500,6,3.0,0.0
BCCH,0.962,0.999,0.900,0.900,10,9.0,1.0
BEKI,0.900,0.995,1.000,0.625,8,5.0,0.0
BLJA,0.985,0.999,1.000,0.550,20,11.0,0.0
BRCR,0.987,1.000,1.000,0.571,14,8.0,0.0
BTNW,0.993,1.000,1.000,0.842,19,16.0,0.0
CANG,1.000,1.000,1.000,0.833,6,5.0,0.0
CEDW,0.908,0.996,1.000,0.217,23,5.0,0.0
CHSP,0.961,0.995,1.000,0.556,54,30.0,0.0
CMWA,1.000,1.000,0.857,1.000,6,6.0,1.0
CORA,0.976,1.000,1.000,0.833,6,5.0,0.0
COYE,0.959,0.998,1.000,0.818,22,18.0,0.0
DEJU,0.828,0.984,1.000,0.636,11,7.0,0.0
EAKI,0.968,1.000,1.000,0.714,7,5.0,0.0
EATO,0.929,0.999,1.000,0.545,11,6.0,0.0
EAWP,0.991,1.000,1.000,0.800,30,24.0,0.0
FISP,1.000,1.000,1.000,0.750,12,9.0,0.0
GCKI,0.918,0.938,1.000,0.333,12,4.0,0.0
GHOW,0.757,0.911,1.000,0.036,28,1.0,0.0
HETH,0.543,0.891,1.000,0.093,43,4.0,0.0
NHWR,1.000,1.000,1.000,0.778,9,7.0,0.0
NOCA,0.977,0.999,1.000,0.609,23,14.0,0.0
NOFL,1.000,1.000,1.000,0.900,10,9.0,0.0
OVEN,0.991,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.973,0.999,1.000,0.538,13,7.0,0.0
RWBL,0.958,0.997,1.000,0.649,37,24.0,0.0
SWSP,0.890,0.991,1.000,0.538,39,21.0,0.0
SWTH,0.954,0.999,0.800,0.800,10,8.0,2.0
TEWA,0.867,0.972,1.000,0.522,46,24.0,0.0
TRUS,0.943,0.999,1.000,0.250,8,2.0,0.0
VEER,1.000,1.000,1.000,0.250,4,1.0,0.0
WAVI,0.945,0.998,1.000,0.800,10,8.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.931,0.994,1.000,0.548,31,17.0,0.0
WIWA,0.989,1.000,1.000,0.778,9,7.0,0.0
WIWR,1.000,1.000,1.000,0.970,33,32.0,0.0
WOTH,1.000,1.000,1.000,0.500,4,2.0,0.0
WTSP,0.876,0.987,1.000,0.419,43,18.0,0.0
YEWA,0.894,0.997,1.000,0.438,16,7.0,0.0
