recording,TP count,FP count,FN count
file001,16.0,0.0,6.0
file002,12.0,0.0,8.0
file003,13.0,1.0,29.0
file004,18.0,0.0,6.0
file005,11.0,0.0,7.0
file006,13.0,0.0,9.0
file007,7.0,0.0,1.0
file008,11.0,3.0,3.0
file009,7.0,0.0,11.0
file010,3.0,0.0,3.0
file011,4.0,0.0,2.0
file012,15.0,0.0,5.0
file013,3.0,0.0,0.0
file014,2.0,0.0,4.0
file015,0.0,0.0,3.0
file016,5.0,0.0,6.0
file017,2.0,0.0,4.0
file018,2.0,0.0,1.0
file019,1.0,0.0,2.0
file020,5.0,0.0,0.0
file021,5.0,0.0,9.0
file022,3.0,0.0,1.0
file023,1.0,0.0,2.0
file024,4.0,0.0,3.0
file025,1.0,0.0,5.0
file026,3.0,0.0,7.0
file027,1.0,0.0,0.0
file028,0.0,0.0,4.0
file029,5.0,1.0,4.0
file030,4.0,0.0,1.0
file031,3.0,0.0,0.0
file032,5.0,0.0,6.0
file033,2.0,0.0,2.0
file034,2.0,0.0,3.0
file035,9.0,0.0,19.0
file036,33.0,0.0,0.0
file037,10.0,0.0,13.0
file038,2.0,0.0,0.0
file039,4.0,0.0,0.0
file040,9.0,2.0,13.0
file041,5.0,0.0,3.0
file042,3.0,0.0,1.0
file043,5.0,0.0,1.0
file044,1.0,0.0,2.0
file045,16.0,1.0,3.0
file046,0.0,0.0,12.0
file047,1.0,0.0,5.0
file048,4.0,0.0,0.0
file049,29.0,0.0,30.0
file050,23.0,0.0,42.0
file051,10.0,3.0,9.0
file052,20.0,0.0,35.0
file053,10.0,1.0,26.0
file054,0.0,0.0,3.0
file055,4.0,1.0,5.0
file056,6.0,0.0,0.0
file057,2.0,0.0,1.0
file058,0.0,0.0,1.0
file059,5.0,0.0,1.0
file060,5.0,0.0,0.0
file061,5.0,0.0,0.0
file062,5.0,0.0,1.0
file063,7.0,0.0,6.0
file064,6.0,0.0,2.0
file065,4.0,0.0,0.0
file067,4.0,0.0,4.0
file068,2.0,0.0,3.0
file069,7.0,0.0,0.0
file070,1.0,0.0,3.0
file071,2.0,0.0,6.0
file072,1.0,0.0,15.0
