class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.990,0.999,1.000,0.719,32,23.0,0.0
ALFL,0.892,0.975,1.000,0.500,46,23.0,0.0
AMBI,0.860,0.990,1.000,0.333,9,3.0,0.0
AMCR,0.843,0.987,1.000,0.240,25,6.0,0.0
AMRO,0.711,0.966,0.750,0.250,12,3.0,1.0
BADO,0.905,0.997,0.900,0.818,22,18.0,2.0
BBWA,0.811,0.998,1.000,0.167,6,1.0,0.0
BCCH,0.950,0.999,1.000,0.600,10,6.0,0.0
BEKI,0.959,1.000,1.000,0.500,8,4.0,0.0
BLJA,0.831,0.994,0.833,0.250,20,5.0,1.0
BRCR,0.766,0.994,0.833,0.357,14,5.0,1.0
BTNW,0.995,1.000,1.000,0.789,19,15.0,0.0
CANG,0.677,0.998,0.800,0.667,6,4.0,1.0
CEDW,0.893,0.995,1.000,0.435,23,10.0,0.0
CHSP,0.947,0.990,1.000,0.556,54,30.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,0.500,6,3.0,0.0
COYE,0.914,0.988,1.000,0.682,22,15.0,0.0
DEJU,0.855,0.996,0.875,0.636,11,7.0,1.0
EAKI,0.928,0.999,1.000,0.714,7,5.0,0.0
EATO,0.941,0.998,1.000,0.727,11,8.0,0.0
EAWP,0.971,0.998,1.000,0.767,30,23.0,0.0
FISP,0.819,0.960,1.000,0.583,12,7.0,0.0
GCKI,0.676,0.974,1.000,0.333,12,4.0,0.0
GHOW,0.750,0.928,1.000,0.321,28,9.0,0.0
HETH,0.551,0.842,1.000,0.140,43,6.0,0.0
NHWR,1.000,1.000,1.000,0.889,9,8.0,0.0
NOCA,0.974,0.999,1.000,0.478,23,11.0,0.0
NOFL,0.973,1.000,1.000,0.700,10,7.0,0.0
OVEN,0.920,0.995,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,0.909,11,10.0,0.0
RBNU,0.901,0.972,1.000,0.385,13,5.0,0.0
RWBL,0.933,0.992,1.000,0.541,37,20.0,0.0
SWSP,0.871,0.968,1.000,0.308,39,12.0,0.0
SWTH,0.855,0.998,0.818,0.900,10,9.0,2.0
TEWA,0.894,0.978,1.000,0.435,46,20.0,0.0
TRUS,0.942,0.999,0.000,0.000,8,0.0,0.0
VEER,1.000,1.000,0.000,0.000,4,0.0,0.0
WAVI,0.948,0.999,1.000,0.400,10,4.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.856,0.976,1.000,0.452,31,14.0,0.0
WIWA,0.887,0.999,0.778,0.778,9,7.0,2.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,0.950,1.000,0.800,1.000,4,4.0,1.0
WTSP,0.758,0.936,0.917,0.256,43,11.0,1.0
YEWA,0.782,0.955,1.000,0.312,16,5.0,0.0
