class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.954,0.998,0.933,0.875,32,28.0,2.0
ALFL,0.963,0.990,0.970,0.696,46,32.0,1.0
AMBI,0.582,0.980,0.750,0.333,9,3.0,1.0
AMCR,0.752,0.975,1.000,0.440,25,11.0,0.0
AMRO,0.725,0.991,0.750,0.500,12,6.0,2.0
BADO,0.950,0.998,0.895,0.773,22,17.0,2.0
BBWA,0.751,0.995,1.000,0.500,6,3.0,0.0
BCCH,0.959,0.999,1.000,0.900,10,9.0,0.0
BEKI,0.938,0.999,1.000,0.750,8,6.0,0.0
BLJA,0.934,0.998,0.929,0.650,20,13.0,1.0
BRCR,0.907,0.998,0.846,0.786,14,11.0,2.0
BTNW,0.950,0.997,1.000,0.842,19,16.0,0.0
CANG,0.780,0.998,0.600,1.000,6,6.0,4.0
CEDW,0.817,0.991,0.818,0.391,23,9.0,2.0
CHSP,0.919,0.961,1.000,0.611,54,33.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.953,0.998,0.895,0.773,22,17.0,2.0
DEJU,0.768,0.992,0.857,0.545,11,6.0,1.0
EAKI,0.924,0.998,0.857,0.857,7,6.0,1.0
EATO,1.000,1.000,1.000,0.636,11,7.0,0.0
EAWP,0.963,0.995,1.000,0.867,30,26.0,0.0
FISP,0.920,0.998,1.000,0.750,12,9.0,0.0
GCKI,0.855,0.995,1.000,0.500,12,6.0,0.0
GHOW,0.713,0.926,1.000,0.143,28,4.0,0.0
HETH,0.607,0.863,1.000,0.233,43,10.0,0.0
NHWR,0.977,1.000,0.900,1.000,9,9.0,1.0
NOCA,0.957,0.996,1.000,0.696,23,16.0,0.0
NOFL,0.892,0.999,0.750,0.900,10,9.0,3.0
OVEN,0.900,0.988,0.900,0.900,10,9.0,1.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.982,1.000,1.000,0.692,13,9.0,0.0
RWBL,0.917,0.988,0.960,0.649,37,24.0,1.0
SWSP,0.824,0.954,1.000,0.436,39,17.0,0.0
SWTH,0.886,0.999,0.833,1.000,10,10.0,2.0
TEWA,0.839,0.952,1.000,0.500,46,23.0,0.0
TRUS,1.000,1.000,1.000,0.750,8,6.0,0.0
VEER,0.830,0.999,1.000,0.500,4,2.0,0.0
WAVI,0.899,0.993,1.000,0.600,10,6.0,0.0
WETA,1.000,1.000,1.000,0.909,11,10.0,0.0
WISN,0.887,0.969,1.000,0.484,31,15.0,0.0
WIWA,0.943,0.999,1.000,0.778,9,7.0,0.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.802,0.965,0.909,0.233,43,10.0,1.0
YEWA,0.940,0.976,1.000,0.438,16,7.0,0.0
