recording,iou_max,iou_0.60,iou_0.80
N100056,0.8167,0.8333,0.5000
N106834-edited,1.0000,0.8750,0.5667
N128080,0.7800,0.6100,0.4500
N16767-edited,0.9259,0.8102,0.4630
N22158-edited,0.9048,0.7979,0.4634
N22971-edited,0.6353,0.6048,0.4345
N23417-edited,0.9167,0.8278,0.4333
N23493-edited,0.7867,0.6067,0.4600
N250512,0.4167,0.6667,0.3333
N3568,0.9167,0.7917,0.6250
N37429,0.6667,0.9167,0.7917
N38268,0.7616,0.7519,0.5333
N38516,0.6545,0.6822,0.4778
N39306,0.8943,0.8315,0.5014
N41312-edited,0.9167,0.7500,0.5000
N41564,0.3750,0.5000,0.3333
N44587-edited,0.3167,0.3333,0.4167
N460551,0.4167,0.5833,0.7083
N488610,0.5625,0.5417,0.3958
N500951,0.6667,0.5556,0.3750
N6682-edited,0.8021,0.8125,0.5000
N737290,0.4167,0.3333,0.3333
N98507,0.4722,0.5556,0.4444
XC109766,0.8125,0.6488,0.3393
XC109767,0.8746,0.7678,0.4444
XC109769,0.8929,0.8515,0.5586
XC114554,0.8889,0.7778,0.5000
XC134014-edited,0.3312,0.3357,0.1905
XC144024,0.5000,0.6667,0.3333
XC159959,0.9226,0.7810,0.2524
XC172881,0.7143,0.7143,0.3333
XC215372,0.5556,0.4444,0.3889
XC271361,0.9167,0.8333,0.3889
XC801172-edited,0.5432,0.5794,0.4821
XC812929,0.6262,0.5488,0.3714
