recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5833
N106834-edited,0.8750,0.8452,0.8250
N128080,0.5503,0.5000,0.6875
N16767-edited,0.8222,0.8222,0.8889
N22158-edited,0.6951,0.6473,0.9228
N22971-edited,0.7064,0.5766,0.6992
N23417-edited,0.8098,0.8098,0.8535
N23493-edited,0.6067,0.6467,0.6067
N250512,0.6806,0.6806,0.5556
N3568,0.8869,0.8869,0.8750
N37429,0.3905,0.3500,0.6250
N38268,0.9259,0.9259,0.9213
N38516,0.9156,0.8740,0.8933
N39306,0.9407,0.9407,0.9242
N41312-edited,0.7500,0.8333,0.7500
N41564,0.8333,0.8333,0.1667
N44587-edited,0.5556,0.5000,0.5000
N460551,0.2068,0.1146,0.5000
N488610,0.7083,0.7083,0.5417
N500951,0.6667,0.6667,0.5000
N6682-edited,0.7350,0.6728,0.7500
N737290,0.5833,0.4771,0.6167
N98507,0.7778,0.8889,0.3889
XC109766,0.9545,0.9167,0.9545
XC109767,0.9513,0.9165,0.9115
XC109769,0.9326,0.9231,0.9221
XC114554,1.0000,1.0000,0.8750
XC134014-edited,0.6500,0.5000,0.3968
XC144024,0.6667,0.5000,0.6667
XC159959,0.8071,0.8071,0.8012
XC172881,0.8333,0.8333,0.6667
XC215372,0.7778,0.7778,0.4444
XC271361,0.3333,0.3333,0.1667
XC801172-edited,0.9583,0.9583,0.9107
XC812929,0.8471,0.4127,0.5583
