recording,TP count,FP count,FN count
file001,15.0,0.0,7.0
file002,11.0,0.0,9.0
file003,16.0,1.0,26.0
file004,19.0,0.0,5.0
file005,12.0,3.0,6.0
file006,13.0,0.0,9.0
file007,8.0,0.0,0.0
file008,10.0,3.0,4.0
file009,5.0,1.0,13.0
file010,6.0,0.0,0.0
file011,4.0,0.0,2.0
file012,12.0,0.0,8.0
file013,3.0,0.0,0.0
file014,4.0,0.0,2.0
file015,0.0,0.0,3.0
file016,5.0,0.0,6.0
file017,2.0,0.0,4.0
file018,3.0,0.0,0.0
file019,2.0,0.0,1.0
file020,5.0,0.0,0.0
file021,5.0,0.0,9.0
file022,3.0,0.0,1.0
file023,2.0,0.0,1.0
file024,4.0,0.0,3.0
file025,1.0,0.0,5.0
file026,2.0,0.0,8.0
file027,1.0,0.0,0.0
file028,1.0,0.0,3.0
file029,3.0,0.0,6.0
file030,5.0,0.0,0.0
file031,3.0,0.0,0.0
file032,4.0,0.0,7.0
file033,3.0,0.0,1.0
file034,2.0,0.0,3.0
file035,2.0,0.0,26.0
file036,25.0,0.0,8.0
file037,9.0,1.0,14.0
file038,1.0,0.0,1.0
file039,4.0,0.0,0.0
file040,9.0,1.0,13.0
file041,5.0,1.0,3.0
file042,2.0,0.0,2.0
file043,4.0,0.0,2.0
file044,3.0,0.0,0.0
file045,17.0,0.0,2.0
file046,4.0,0.0,8.0
file047,1.0,0.0,5.0
file048,4.0,0.0,0.0
file049,34.0,0.0,25.0
file050,21.0,0.0,44.0
file051,10.0,1.0,9.0
file052,15.0,0.0,40.0
file053,7.0,0.0,29.0
file054,2.0,0.0,1.0
file055,3.0,1.0,6.0
file056,6.0,0.0,0.0
file057,3.0,0.0,0.0
file058,0.0,0.0,1.0
file059,3.0,0.0,3.0
file060,5.0,0.0,0.0
file061,5.0,0.0,0.0
file062,5.0,0.0,1.0
file063,8.0,0.0,5.0
file064,6.0,0.0,2.0
file065,4.0,0.0,0.0
file067,0.0,0.0,8.0
file068,5.0,0.0,0.0
file069,7.0,0.0,0.0
file070,1.0,0.0,3.0
file071,2.0,0.0,6.0
file072,4.0,0.0,12.0
