roc_recall,one_minus_fpr,roc_precision
0.000,1.000,1.000
0.010,1.000,1.000
0.020,1.000,1.000
0.030,1.000,1.000
0.040,1.000,1.000
0.050,1.000,1.000
0.060,1.000,1.000
0.070,1.000,1.000
0.080,1.000,1.000
0.090,1.000,1.000
0.100,1.000,1.000
0.110,1.000,0.986
0.120,1.000,0.985
0.130,1.000,0.986
0.140,1.000,0.988
0.150,1.000,0.989
0.160,1.000,0.990
0.170,1.000,0.990
0.180,1.000,0.991
0.190,1.000,0.992
0.200,1.000,0.991
0.210,1.000,0.986
0.220,1.000,0.986
0.230,1.000,0.987
0.240,1.000,0.988
0.250,1.000,0.988
0.260,1.000,0.989
0.270,1.000,0.989
0.280,1.000,0.990
0.290,1.000,0.990
0.300,1.000,0.991
0.310,1.000,0.991
0.320,1.000,0.991
0.330,1.000,0.987
0.340,1.000,0.988
0.350,1.000,0.984
0.360,1.000,0.984
0.370,1.000,0.985
0.380,1.000,0.986
0.390,1.000,0.983
0.400,1.000,0.983
0.410,1.000,0.983
0.420,1.000,0.983
0.430,1.000,0.984
0.440,1.000,0.984
0.450,1.000,0.985
0.460,1.000,0.985
0.470,1.000,0.984
0.480,1.000,0.980
0.490,1.000,0.981
0.500,1.000,0.979
0.510,1.000,0.979
0.520,1.000,0.979
0.530,1.000,0.980
0.540,1.000,0.980
0.550,0.999,0.978
0.560,0.999,0.979
0.570,0.999,0.979
0.580,0.999,0.977
0.590,0.999,0.973
0.600,0.999,0.972
0.610,0.999,0.970
0.620,0.999,0.966
0.630,0.999,0.965
0.640,0.999,0.961
0.650,0.999,0.958
0.660,0.999,0.953
0.670,0.999,0.954
0.680,0.998,0.949
0.690,0.998,0.944
0.700,0.998,0.944
0.710,0.998,0.944
0.720,0.997,0.940
0.730,0.997,0.941
0.740,0.997,0.940
0.750,0.997,0.934
0.760,0.996,0.930
0.770,0.996,0.922
0.780,0.996,0.917
0.790,0.995,0.911
0.800,0.995,0.898
0.810,0.994,0.889
0.820,0.994,0.882
0.830,0.992,0.879
0.840,0.992,0.866
0.850,0.989,0.845
0.860,0.984,0.823
0.870,0.980,0.814
0.880,0.973,0.796
0.890,0.965,0.788
0.900,0.955,0.780
0.910,0.941,0.772
0.920,0.932,0.769
0.930,0.896,0.759
0.940,0.840,0.749
0.950,0.791,0.747
0.960,0.659,0.741
0.970,0.525,0.737
0.980,0.337,0.735
0.990,0.148,0.728
1.000,0.074,0.364
1.010,0.000,0.000
