threshold,precision,recall
0.336,0.859,0.747
0.338,0.860,0.747
0.341,0.861,0.747
0.344,0.861,0.745
0.346,0.862,0.745
0.348,0.864,0.745
0.351,0.865,0.744
0.352,0.865,0.742
0.357,0.866,0.742
0.363,0.867,0.742
0.364,0.872,0.741
0.365,0.873,0.741
0.368,0.873,0.739
0.370,0.872,0.738
0.371,0.872,0.737
0.372,0.874,0.736
0.373,0.877,0.736
0.377,0.878,0.735
0.378,0.879,0.735
0.379,0.879,0.731
0.380,0.878,0.730
0.381,0.880,0.730
0.383,0.880,0.729
0.385,0.879,0.728
0.386,0.879,0.724
0.389,0.879,0.723
0.391,0.878,0.722
0.392,0.878,0.721
0.393,0.879,0.719
0.394,0.880,0.718
0.396,0.883,0.718
0.398,0.883,0.716
0.402,0.882,0.715
0.403,0.884,0.715
0.405,0.884,0.714
0.407,0.883,0.713
0.410,0.886,0.711
0.413,0.887,0.711
0.414,0.888,0.711
0.415,0.890,0.710
0.417,0.892,0.710
0.418,0.894,0.708
0.419,0.896,0.708
0.420,0.897,0.708
0.424,0.898,0.707
0.429,0.898,0.706
0.433,0.898,0.704
0.435,0.897,0.701
0.437,0.899,0.701
0.438,0.898,0.699
0.439,0.898,0.698
0.440,0.898,0.697
0.442,0.899,0.696
0.446,0.900,0.696
0.448,0.900,0.695
0.449,0.902,0.695
0.450,0.901,0.693
0.451,0.903,0.693
0.452,0.904,0.692
0.453,0.904,0.690
0.455,0.905,0.690
0.457,0.905,0.689
0.458,0.905,0.688
0.460,0.906,0.688
0.462,0.906,0.685
0.466,0.909,0.684
0.467,0.908,0.683
0.468,0.910,0.682
0.470,0.911,0.682
0.480,0.912,0.682
0.482,0.914,0.681
0.484,0.914,0.680
0.486,0.913,0.679
0.489,0.913,0.677
0.490,0.913,0.676
0.492,0.914,0.675
0.494,0.914,0.674
0.496,0.916,0.673
0.499,0.917,0.673
0.505,0.918,0.673
0.507,0.918,0.672
0.508,0.920,0.672
0.511,0.921,0.672
0.513,0.921,0.669
0.514,0.921,0.668
0.516,0.922,0.667
0.523,0.922,0.665
0.527,0.922,0.662
0.529,0.922,0.661
0.534,0.923,0.660
0.537,0.924,0.659
0.538,0.924,0.657
0.541,0.926,0.657
0.545,0.925,0.656
0.553,0.927,0.654
0.557,0.927,0.653
0.560,0.927,0.652
0.565,0.928,0.652
0.568,0.928,0.651
0.571,0.930,0.651
0.572,0.931,0.650
0.575,0.931,0.648
0.578,0.930,0.645
0.579,0.930,0.644
0.581,0.930,0.643
0.583,0.930,0.642
0.589,0.932,0.642
0.590,0.933,0.642
0.592,0.935,0.642
0.598,0.935,0.641
0.599,0.935,0.639
0.600,0.934,0.638
0.604,0.936,0.638
0.605,0.938,0.637
0.606,0.937,0.636
0.607,0.937,0.635
0.615,0.937,0.631
0.616,0.937,0.629
0.618,0.938,0.629
0.619,0.940,0.628
0.623,0.940,0.626
0.626,0.940,0.625
0.628,0.939,0.623
0.629,0.939,0.622
0.630,0.939,0.621
0.631,0.941,0.620
0.634,0.941,0.619
0.641,0.941,0.618
0.643,0.940,0.615
0.644,0.940,0.614
0.646,0.940,0.613
0.647,0.940,0.612
0.650,0.942,0.612
0.651,0.942,0.611
0.653,0.941,0.608
0.654,0.943,0.608
0.656,0.943,0.607
0.657,0.943,0.606
0.659,0.945,0.606
0.663,0.944,0.605
0.664,0.944,0.604
0.665,0.944,0.603
0.666,0.944,0.602
0.668,0.944,0.600
0.669,0.944,0.599
0.671,0.944,0.597
0.672,0.944,0.596
0.674,0.944,0.595
0.675,0.943,0.592
0.676,0.943,0.591
0.677,0.943,0.589
0.680,0.943,0.588
0.682,0.943,0.587
0.683,0.943,0.586
0.686,0.943,0.584
0.688,0.942,0.583
0.689,0.942,0.582
0.691,0.944,0.581
0.698,0.944,0.580
0.699,0.946,0.580
0.700,0.946,0.579
0.701,0.947,0.577
0.704,0.947,0.576
0.705,0.947,0.575
0.706,0.949,0.575
0.707,0.949,0.573
0.708,0.949,0.572
0.709,0.950,0.571
0.712,0.950,0.569
0.713,0.952,0.568
0.715,0.952,0.567
0.716,0.954,0.567
0.720,0.954,0.566
0.721,0.953,0.565
0.722,0.953,0.564
0.724,0.953,0.563
0.728,0.953,0.560
0.730,0.953,0.559
0.733,0.953,0.558
0.736,0.953,0.557
0.740,0.953,0.556
0.741,0.954,0.553
0.744,0.954,0.552
0.749,0.956,0.551
0.750,0.958,0.551
0.753,0.958,0.550
0.754,0.958,0.549
0.755,0.958,0.548
0.758,0.960,0.548
0.759,0.960,0.546
0.760,0.960,0.545
0.762,0.962,0.545
0.763,0.961,0.544
0.764,0.961,0.543
0.768,0.963,0.542
0.769,0.965,0.541
0.771,0.965,0.538
0.772,0.965,0.536
0.773,0.965,0.535
0.774,0.965,0.534
0.775,0.967,0.530
0.776,0.966,0.528
0.777,0.966,0.525
0.780,0.966,0.524
0.781,0.970,0.522
0.783,0.970,0.521
0.784,0.970,0.520
0.785,0.970,0.518
0.788,0.970,0.514
0.791,0.972,0.513
0.792,0.972,0.512
0.794,0.972,0.511
0.795,0.972,0.510
0.798,0.971,0.507
0.800,0.971,0.505
0.802,0.973,0.504
0.804,0.973,0.499
0.805,0.975,0.498
0.806,0.977,0.497
0.807,0.977,0.496
0.808,0.977,0.494
0.810,0.979,0.494
0.811,0.979,0.493
0.812,0.979,0.491
0.813,0.979,0.489
0.814,0.979,0.488
0.819,0.979,0.487
0.820,0.979,0.485
0.821,0.979,0.482
0.823,0.979,0.481
0.824,0.979,0.479
0.825,0.979,0.475
0.826,0.979,0.474
0.827,0.979,0.471
0.828,0.978,0.467
0.830,0.978,0.466
0.831,0.978,0.465
0.832,0.978,0.464
0.833,0.978,0.463
0.835,0.978,0.460
0.836,0.978,0.459
0.837,0.978,0.456
0.838,0.978,0.454
0.839,0.978,0.452
0.840,0.980,0.451
0.841,0.980,0.449
0.843,0.980,0.448
0.844,0.980,0.442
0.845,0.980,0.440
0.846,0.979,0.435
0.847,0.979,0.434
0.848,0.979,0.432
0.849,0.979,0.428
0.853,0.979,0.427
0.854,0.979,0.425
0.855,0.979,0.423
0.856,0.979,0.421
0.857,0.979,0.420
0.860,0.979,0.419
0.862,0.978,0.418
0.864,0.978,0.412
0.866,0.981,0.411
0.868,0.981,0.409
0.869,0.981,0.406
0.870,0.981,0.405
0.871,0.981,0.404
0.874,0.980,0.402
0.875,0.980,0.401
0.876,0.980,0.400
0.877,0.980,0.395
0.878,0.980,0.390
0.879,0.983,0.388
0.880,0.985,0.386
0.881,0.985,0.385
0.883,0.985,0.382
0.884,0.985,0.377
0.885,0.985,0.375
0.886,0.985,0.373
0.888,0.985,0.369
0.891,0.985,0.366
0.892,0.985,0.365
0.894,0.984,0.363
0.895,0.984,0.359
0.896,0.984,0.356
0.897,0.984,0.351
0.898,0.984,0.348
0.899,0.984,0.347
0.900,0.984,0.344
0.901,0.983,0.342
0.902,0.983,0.338
0.903,0.983,0.336
0.904,0.983,0.334
0.905,0.983,0.332
0.906,0.983,0.330
0.907,0.983,0.326
0.908,0.983,0.325
0.909,0.983,0.324
0.910,0.983,0.323
0.911,0.982,0.320
0.913,0.986,0.320
0.914,0.986,0.319
0.915,0.986,0.316
0.916,0.986,0.312
0.917,0.985,0.309
0.918,0.985,0.301
0.919,0.985,0.297
0.920,0.985,0.294
0.921,0.984,0.288
0.922,0.984,0.285
0.923,0.984,0.282
0.924,0.984,0.279
0.925,0.988,0.278
0.926,0.988,0.274
0.927,0.988,0.273
0.928,0.988,0.272
0.929,0.987,0.269
0.930,0.987,0.266
0.931,0.987,0.262
0.932,0.987,0.258
0.933,0.991,0.257
0.934,0.991,0.254
0.935,0.991,0.249
0.936,0.991,0.245
0.937,0.990,0.238
0.938,0.990,0.237
0.939,0.990,0.231
0.940,0.990,0.230
0.941,0.990,0.226
0.942,0.990,0.220
0.943,0.989,0.216
0.944,0.989,0.214
0.945,0.989,0.211
0.946,0.989,0.209
0.947,0.989,0.208
0.949,0.989,0.204
0.950,0.989,0.199
0.951,0.988,0.195
0.952,0.988,0.188
0.953,0.988,0.181
0.954,0.987,0.180
0.955,0.987,0.177
0.956,0.987,0.172
0.957,0.987,0.169
0.958,0.986,0.166
0.959,0.986,0.163
0.960,0.986,0.158
0.961,0.985,0.155
0.962,0.985,0.154
0.963,0.992,0.147
0.964,0.992,0.140
0.965,0.991,0.133
0.966,0.991,0.130
0.967,0.991,0.126
0.968,0.991,0.121
0.969,0.990,0.117
0.970,0.990,0.114
0.971,0.990,0.110
0.972,0.989,0.108
0.973,0.989,0.104
0.974,0.989,0.102
0.975,0.989,0.099
0.976,0.987,0.087
0.977,0.986,0.078
0.978,0.985,0.075
0.979,0.985,0.073
0.980,1.000,0.070
0.981,1.000,0.064
0.982,1.000,0.061
0.983,1.000,0.057
0.984,1.000,0.056
0.985,1.000,0.055
0.986,1.000,0.054
0.987,1.000,0.049
0.988,1.000,0.042
0.989,1.000,0.033
0.990,1.000,0.032
0.991,1.000,0.028
0.992,1.000,0.023
0.993,1.000,0.018
0.994,1.000,0.016
0.995,1.000,0.011
0.996,1.000,0.010
0.997,1.000,0.008
0.998,1.000,0.006
0.999,1.000,0.003
1.000,1.000,0.001
