recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,0.9167,0.9167,0.8250
N128080,0.5111,0.5111,0.6786
N16767-edited,0.8556,0.8556,0.8889
N22158-edited,0.8423,0.8423,0.8712
N22971-edited,0.6964,0.6964,0.6742
N23417-edited,0.8833,0.8833,0.7808
N23493-edited,0.7133,0.7133,0.6467
N250512,0.6667,0.6667,0.4444
N3568,0.9615,0.9615,0.9583
N37429,0.7500,0.7500,0.6250
N38268,0.9583,0.9583,0.8796
N38516,0.8740,0.8740,0.8267
N39306,0.8446,0.8446,0.8516
N41312-edited,0.8333,0.8333,0.6667
N41564,0.8750,0.8750,0.3333
N44587-edited,0.4444,0.4444,0.2778
N460551,1.0000,1.0000,0.8750
N488610,0.7917,0.7917,0.6250
N500951,0.5000,0.5000,0.3333
N6682-edited,0.8597,0.8597,0.7500
N737290,0.5833,0.5833,0.7333
N98507,0.7778,0.7778,0.3889
XC109766,0.9583,0.9583,0.8377
XC109767,0.9774,0.9774,0.8816
XC109769,0.9895,0.9895,0.9456
XC114554,1.0000,1.0000,1.0000
XC134014-edited,0.6500,0.6500,0.3968
XC144024,0.6667,0.6667,0.6667
XC159959,0.8929,0.8929,0.6464
XC172881,0.5556,0.5556,0.6667
XC215372,0.6111,0.6111,0.4444
XC271361,0.3333,0.3333,0.1667
XC801172-edited,0.9583,0.9583,0.7183
XC812929,0.7714,0.7714,0.6041
