threshold,true positive rate,false positive rate
0.306,0.875,0.007
0.308,0.874,0.007
0.310,0.874,0.007
0.311,0.871,0.007
0.312,0.870,0.007
0.313,0.870,0.007
0.314,0.869,0.007
0.315,0.869,0.007
0.317,0.869,0.007
0.318,0.869,0.007
0.319,0.869,0.007
0.320,0.868,0.007
0.322,0.867,0.007
0.325,0.867,0.007
0.326,0.867,0.007
0.327,0.867,0.007
0.334,0.867,0.007
0.336,0.866,0.007
0.337,0.866,0.006
0.340,0.866,0.006
0.341,0.866,0.006
0.343,0.863,0.006
0.345,0.861,0.006
0.346,0.861,0.006
0.347,0.860,0.006
0.351,0.860,0.006
0.352,0.860,0.006
0.355,0.859,0.006
0.357,0.859,0.006
0.358,0.859,0.006
0.359,0.859,0.006
0.360,0.858,0.006
0.361,0.856,0.006
0.363,0.856,0.006
0.364,0.855,0.006
0.365,0.855,0.006
0.366,0.855,0.006
0.368,0.854,0.006
0.369,0.850,0.006
0.370,0.850,0.006
0.371,0.850,0.006
0.372,0.848,0.006
0.374,0.848,0.006
0.375,0.848,0.005
0.378,0.848,0.005
0.379,0.848,0.005
0.382,0.848,0.005
0.383,0.847,0.005
0.385,0.847,0.005
0.386,0.847,0.005
0.388,0.846,0.005
0.389,0.846,0.005
0.392,0.846,0.005
0.395,0.846,0.005
0.396,0.846,0.005
0.397,0.846,0.005
0.398,0.845,0.005
0.399,0.845,0.005
0.402,0.844,0.005
0.403,0.844,0.005
0.404,0.843,0.005
0.407,0.843,0.005
0.408,0.843,0.005
0.409,0.842,0.005
0.410,0.842,0.005
0.415,0.840,0.004
0.417,0.840,0.004
0.418,0.839,0.004
0.419,0.839,0.004
0.421,0.838,0.004
0.422,0.838,0.004
0.425,0.836,0.004
0.426,0.836,0.004
0.429,0.835,0.004
0.430,0.834,0.004
0.432,0.832,0.004
0.433,0.831,0.004
0.434,0.831,0.004
0.435,0.831,0.004
0.436,0.831,0.004
0.437,0.831,0.004
0.440,0.830,0.004
0.441,0.830,0.004
0.444,0.828,0.004
0.446,0.827,0.004
0.448,0.824,0.004
0.452,0.824,0.004
0.453,0.822,0.004
0.455,0.822,0.004
0.456,0.821,0.004
0.458,0.821,0.003
0.460,0.821,0.003
0.461,0.820,0.003
0.466,0.816,0.003
0.467,0.816,0.003
0.468,0.815,0.003
0.469,0.813,0.003
0.470,0.813,0.003
0.471,0.812,0.003
0.472,0.812,0.003
0.474,0.811,0.003
0.476,0.809,0.003
0.479,0.809,0.003
0.480,0.808,0.003
0.481,0.808,0.003
0.482,0.808,0.003
0.486,0.807,0.003
0.487,0.806,0.003
0.489,0.806,0.003
0.490,0.804,0.003
0.493,0.803,0.003
0.494,0.803,0.003
0.496,0.803,0.003
0.497,0.803,0.003
0.501,0.803,0.003
0.502,0.803,0.003
0.504,0.800,0.003
0.507,0.799,0.003
0.509,0.799,0.003
0.514,0.798,0.003
0.518,0.797,0.002
0.520,0.794,0.002
0.522,0.794,0.002
0.523,0.793,0.002
0.525,0.791,0.002
0.527,0.789,0.002
0.530,0.789,0.002
0.531,0.788,0.002
0.544,0.788,0.002
0.545,0.788,0.002
