recording,iou_max,iou_0.60,iou_0.80
N100056,0.6857,0.6333,0.2667
N106834-edited,0.7738,0.7262,0.5167
N128080,0.8300,0.7300,0.3900
N16767-edited,0.8963,0.8843,0.5000
N22158-edited,0.8990,0.7940,0.4139
N22971-edited,0.6520,0.6270,0.3810
N23417-edited,0.9111,0.8530,0.4818
N23493-edited,0.6467,0.5800,0.3933
N250512,0.6667,0.6667,0.3333
N3568,0.9583,0.8333,0.5000
N37429,0.4167,0.4167,0.3750
N38268,0.9667,0.8130,0.4815
N38516,0.9600,0.9083,0.5000
N39306,0.9097,0.8919,0.4948
N41312-edited,0.7143,0.6190,0.3333
N41564,0.8333,0.8333,0.1667
N44587-edited,0.8889,0.8889,0.5556
N460551,0.5833,0.5833,0.7083
N488610,0.8542,0.7917,0.3958
N500951,0.5000,0.5000,0.3750
N6682-edited,0.8438,0.7812,0.4375
N737290,0.8667,1.0000,0.5667
N98507,0.7778,0.7778,0.5556
XC109766,0.8958,0.7216,0.2468
XC109767,0.8678,0.7517,0.3625
XC109769,0.9024,0.9233,0.5894
XC114554,0.8000,0.6667,0.5000
XC134014-edited,0.3857,0.3254,0.0476
XC144024,1.0000,0.6667,0.3333
XC159959,0.8095,0.6905,0.3857
XC172881,1.0000,0.6667,0.0000
XC215372,0.7778,0.8889,0.2778
XC271361,0.6722,0.3611,0.0833
XC801172-edited,0.6210,0.4821,0.3452
XC812929,0.5429,0.4714,0.1607
