threshold,true positive rate,false positive rate
0.310,0.902,0.011
0.314,0.902,0.011
0.315,0.902,0.010
0.316,0.902,0.010
0.317,0.901,0.010
0.318,0.901,0.010
0.322,0.901,0.010
0.323,0.900,0.010
0.324,0.900,0.010
0.325,0.900,0.010
0.326,0.900,0.010
0.327,0.900,0.010
0.330,0.900,0.010
0.331,0.900,0.010
0.332,0.899,0.010
0.333,0.898,0.010
0.336,0.898,0.010
0.337,0.898,0.010
0.338,0.898,0.009
0.339,0.898,0.009
0.340,0.898,0.009
0.341,0.898,0.009
0.342,0.897,0.009
0.343,0.897,0.009
0.344,0.896,0.009
0.346,0.896,0.009
0.347,0.893,0.009
0.348,0.893,0.009
0.349,0.892,0.009
0.352,0.889,0.009
0.353,0.887,0.009
0.355,0.887,0.009
0.356,0.887,0.009
0.357,0.886,0.009
0.358,0.885,0.009
0.361,0.885,0.009
0.363,0.884,0.009
0.364,0.881,0.009
0.365,0.881,0.009
0.366,0.879,0.009
0.367,0.879,0.009
0.368,0.878,0.008
0.371,0.878,0.008
0.372,0.877,0.008
0.373,0.877,0.008
0.376,0.877,0.008
0.377,0.877,0.008
0.380,0.877,0.008
0.381,0.876,0.008
0.385,0.876,0.008
0.387,0.875,0.008
0.390,0.875,0.008
0.393,0.875,0.008
0.394,0.873,0.007
0.396,0.873,0.007
0.398,0.873,0.007
0.400,0.873,0.007
0.401,0.873,0.007
0.402,0.871,0.007
0.404,0.871,0.007
0.405,0.871,0.007
0.406,0.870,0.007
0.407,0.870,0.007
0.410,0.870,0.007
0.411,0.870,0.007
0.412,0.870,0.007
0.414,0.869,0.007
0.415,0.869,0.007
0.419,0.869,0.007
0.420,0.869,0.007
0.421,0.868,0.006
0.422,0.867,0.006
0.425,0.867,0.006
0.427,0.867,0.006
0.428,0.867,0.006
0.431,0.865,0.006
0.435,0.865,0.006
0.436,0.863,0.006
0.438,0.863,0.006
0.440,0.862,0.006
0.441,0.862,0.006
0.442,0.861,0.006
0.445,0.861,0.006
0.446,0.860,0.006
0.449,0.860,0.006
0.455,0.860,0.006
0.459,0.859,0.006
0.460,0.859,0.006
0.461,0.858,0.006
0.462,0.856,0.006
0.463,0.855,0.006
0.464,0.855,0.006
0.466,0.855,0.005
0.467,0.854,0.005
0.468,0.854,0.005
0.469,0.853,0.005
0.470,0.851,0.005
0.476,0.851,0.005
0.478,0.850,0.005
0.480,0.848,0.005
0.481,0.848,0.005
0.484,0.846,0.005
0.487,0.844,0.005
0.489,0.843,0.005
0.490,0.842,0.005
0.491,0.842,0.005
0.492,0.842,0.005
0.493,0.842,0.005
0.495,0.839,0.005
0.498,0.838,0.005
0.499,0.838,0.005
0.502,0.837,0.005
0.503,0.836,0.005
0.506,0.836,0.005
0.507,0.836,0.005
0.508,0.836,0.005
0.510,0.836,0.005
0.511,0.836,0.004
0.512,0.835,0.004
0.516,0.835,0.004
0.517,0.835,0.004
0.518,0.834,0.004
0.519,0.834,0.004
0.520,0.831,0.004
0.523,0.829,0.004
0.524,0.828,0.004
0.525,0.828,0.004
0.528,0.825,0.004
0.533,0.825,0.004
0.536,0.825,0.004
0.537,0.824,0.004
0.542,0.823,0.004
0.543,0.822,0.004
0.545,0.822,0.004
0.547,0.817,0.004
0.549,0.817,0.004
0.550,0.816,0.004
0.551,0.816,0.004
0.554,0.815,0.004
0.555,0.815,0.004
0.557,0.813,0.004
0.558,0.812,0.004
0.559,0.811,0.004
0.561,0.811,0.004
0.562,0.809,0.004
0.567,0.809,0.004
0.572,0.807,0.003
0.575,0.807,0.003
0.576,0.806,0.003
0.579,0.806,0.003
0.581,0.805,0.003
0.585,0.805,0.003
0.586,0.804,0.003
0.587,0.804,0.003
0.589,0.803,0.003
0.591,0.803,0.003
0.595,0.800,0.003
0.596,0.800,0.003
0.598,0.798,0.003
0.602,0.796,0.003
0.603,0.796,0.003
0.604,0.793,0.003
0.608,0.793,0.003
0.610,0.792,0.003
0.611,0.790,0.003
0.614,0.790,0.003
0.617,0.789,0.003
0.618,0.789,0.003
0.619,0.788,0.003
0.621,0.786,0.003
0.624,0.784,0.003
0.625,0.784,0.003
0.626,0.784,0.003
0.627,0.784,0.003
0.629,0.783,0.003
0.630,0.783,0.002
0.636,0.780,0.002
0.637,0.778,0.002
0.641,0.776,0.002
0.643,0.775,0.002
0.644,0.773,0.002
0.645,0.772,0.002
0.648,0.768,0.002
0.649,0.768,0.002
0.650,0.767,0.002
0.654,0.763,0.002
0.658,0.761,0.002
0.660,0.759,0.002
0.663,0.759,0.002
0.665,0.757,0.002
0.667,0.755,0.002
0.668,0.755,0.002
0.670,0.753,0.002
0.672,0.753,0.002
0.674,0.752,0.002
0.675,0.750,0.002
0.681,0.750,0.002
0.682,0.749,0.002
0.684,0.749,0.002
0.686,0.747,0.002
0.688,0.745,0.002
0.689,0.744,0.002
0.691,0.743,0.002
0.693,0.738,0.002
0.694,0.737,0.002
0.695,0.736,0.002
0.696,0.735,0.002
0.697,0.734,0.002
0.699,0.734,0.002
0.701,0.731,0.002
0.702,0.731,0.002
0.703,0.730,0.001
0.704,0.730,0.001
0.705,0.729,0.001
0.708,0.728,0.001
0.709,0.727,0.001
0.712,0.726,0.001
0.713,0.724,0.001
0.714,0.722,0.001
0.715,0.721,0.001
0.716,0.719,0.001
0.720,0.718,0.001
0.721,0.716,0.001
0.722,0.715,0.001
0.723,0.714,0.001
0.726,0.714,0.001
0.730,0.711,0.001
0.731,0.711,0.001
0.733,0.708,0.001
0.738,0.706,0.001
0.740,0.706,0.001
0.745,0.700,0.001
0.746,0.699,0.001
0.747,0.698,0.001
0.750,0.692,0.001
0.753,0.692,0.001
0.754,0.691,0.001
0.755,0.690,0.001
0.756,0.689,0.001
0.757,0.687,0.001
0.759,0.685,0.001
0.762,0.685,0.001
0.767,0.682,0.001
0.770,0.680,0.001
0.772,0.677,0.001
0.775,0.677,0.001
0.777,0.676,0.001
0.778,0.672,0.001
0.779,0.668,0.001
0.780,0.667,0.001
0.782,0.667,0.001
0.784,0.665,0.001
0.786,0.662,0.001
0.788,0.661,0.000
0.789,0.658,0.000
0.793,0.654,0.000
0.795,0.654,0.000
0.801,0.651,0.000
0.803,0.649,0.000
0.804,0.648,0.000
0.805,0.645,0.000
0.807,0.644,0.000
0.809,0.644,0.000
0.810,0.643,0.000
0.811,0.642,0.000
0.816,0.638,0.000
0.818,0.635,0.000
0.819,0.634,0.000
0.820,0.630,0.000
0.821,0.629,0.000
0.824,0.627,0.000
0.826,0.625,0.000
0.829,0.621,0.000
0.830,0.620,0.000
0.834,0.617,0.000
0.836,0.614,0.000
0.840,0.608,0.000
0.841,0.605,0.000
0.842,0.605,0.000
0.843,0.602,0.000
0.846,0.599,0.000
0.847,0.597,0.000
0.848,0.594,0.000
0.853,0.589,0.000
0.856,0.588,0.000
0.859,0.586,0.000
0.862,0.582,0.000
0.863,0.581,0.000
0.865,0.574,0.000
0.868,0.567,0.000
0.869,0.566,0.000
0.870,0.564,0.000
0.873,0.561,0.000
0.875,0.557,0.000
0.876,0.556,0.000
0.877,0.552,0.000
0.878,0.550,0.000
0.879,0.549,0.000
0.880,0.545,0.000
0.881,0.543,0.000
0.884,0.541,0.000
0.885,0.538,0.000
0.886,0.534,0.000
0.887,0.530,0.000
0.888,0.527,0.000
0.889,0.524,0.000
0.890,0.521,0.000
0.891,0.518,0.000
0.892,0.514,0.000
0.894,0.510,0.000
0.895,0.506,0.000
0.897,0.505,0.000
0.898,0.502,0.000
0.899,0.497,0.000
0.900,0.496,0.000
0.901,0.494,0.000
0.903,0.485,0.000
0.904,0.482,0.000
0.905,0.479,0.000
0.906,0.476,0.000
0.908,0.467,0.000
0.909,0.465,0.000
0.910,0.460,0.000
0.911,0.459,0.000
0.912,0.456,0.000
0.914,0.451,0.000
0.916,0.449,0.000
0.917,0.444,0.000
0.918,0.443,0.000
0.919,0.437,0.000
0.920,0.432,0.000
0.922,0.418,0.000
0.923,0.413,0.000
0.924,0.410,0.000
0.925,0.403,0.000
0.926,0.395,0.000
0.927,0.387,0.000
0.928,0.380,0.000
0.929,0.372,0.000
0.931,0.370,0.000
0.933,0.361,0.000
0.934,0.355,0.000
0.935,0.348,0.000
0.936,0.336,0.000
0.937,0.333,0.000
0.938,0.326,0.000
0.939,0.320,0.000
0.940,0.311,0.000
0.942,0.300,0.000
0.943,0.290,0.000
0.945,0.279,0.000
0.946,0.274,0.000
0.947,0.268,0.000
0.948,0.259,0.000
0.949,0.253,0.000
0.951,0.241,0.000
0.952,0.228,0.000
0.953,0.223,0.000
0.954,0.214,0.000
0.955,0.203,0.000
0.956,0.194,0.000
0.957,0.186,0.000
0.958,0.183,0.000
0.959,0.171,0.000
0.960,0.166,0.000
0.961,0.163,0.000
0.963,0.145,0.000
0.964,0.138,0.000
0.965,0.134,0.000
0.967,0.121,0.000
0.968,0.109,0.000
0.969,0.103,0.000
0.970,0.093,0.000
0.971,0.085,0.000
0.972,0.078,0.000
0.973,0.070,0.000
0.974,0.065,0.000
0.975,0.060,0.000
0.977,0.046,0.000
0.978,0.041,0.000
0.979,0.036,0.000
0.980,0.031,0.000
0.981,0.029,0.000
0.983,0.025,0.000
0.984,0.015,0.000
0.985,0.008,0.000
0.986,0.005,0.000
0.992,0.001,0.000
