class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.984,0.999,0.966,0.875,32,28.0,1.0
ALFL,0.992,0.999,1.000,0.783,46,36.0,0.0
AMBI,0.691,0.948,1.000,0.556,9,5.0,0.0
AMCR,0.859,0.983,1.000,0.440,25,11.0,0.0
AMRO,0.965,0.999,1.000,0.667,12,8.0,0.0
BADO,1.000,1.000,1.000,0.909,22,20.0,0.0
BBWA,1.000,1.000,1.000,0.833,6,5.0,0.0
BCCH,0.931,0.999,0.875,0.700,10,7.0,1.0
BEKI,0.966,1.000,1.000,0.750,8,6.0,0.0
BLJA,0.947,0.997,1.000,0.550,20,11.0,0.0
BRCR,0.816,0.994,0.889,0.571,14,8.0,1.0
BTNW,0.984,1.000,1.000,0.842,19,16.0,0.0
CANG,0.948,1.000,0.857,1.000,6,6.0,1.0
CEDW,0.869,0.995,1.000,0.478,23,11.0,0.0
CHSP,0.866,0.983,0.931,0.500,54,27.0,2.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.979,0.999,0.950,0.864,22,19.0,1.0
DEJU,0.760,0.992,0.778,0.636,11,7.0,2.0
EAKI,1.000,1.000,1.000,0.857,7,6.0,0.0
EATO,0.910,0.999,1.000,0.455,11,5.0,0.0
EAWP,0.996,1.000,1.000,0.867,30,26.0,0.0
FISP,1.000,1.000,1.000,0.667,12,8.0,0.0
GCKI,0.946,0.999,1.000,0.500,12,6.0,0.0
GHOW,0.804,0.985,1.000,0.179,28,5.0,0.0
HETH,0.597,0.901,0.889,0.186,43,8.0,1.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.989,1.000,1.000,0.826,23,19.0,0.0
NOFL,0.977,1.000,0.818,0.900,10,9.0,2.0
OVEN,0.991,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.990,1.000,1.000,0.769,13,10.0,0.0
RWBL,0.982,0.999,1.000,0.649,37,24.0,0.0
SWSP,0.886,0.985,1.000,0.513,39,20.0,0.0
SWTH,0.983,1.000,0.833,1.000,10,10.0,2.0
TEWA,0.923,0.990,1.000,0.543,46,25.0,0.0
TRUS,1.000,1.000,1.000,0.750,8,6.0,0.0
VEER,0.875,0.999,1.000,0.500,4,2.0,0.0
WAVI,0.956,0.999,1.000,0.700,10,7.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.948,0.991,1.000,0.677,31,21.0,0.0
WIWA,0.966,0.999,0.800,0.889,9,8.0,2.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.859,0.984,1.000,0.349,43,15.0,0.0
YEWA,0.904,0.998,1.000,0.500,16,8.0,0.0
