threshold,true positive rate,false positive rate
0.324,0.821,0.008
0.325,0.821,0.008
0.327,0.821,0.008
0.328,0.821,0.007
0.329,0.819,0.007
0.330,0.819,0.007
0.333,0.819,0.007
0.335,0.817,0.007
0.336,0.817,0.007
0.338,0.814,0.007
0.339,0.813,0.007
0.340,0.813,0.007
0.341,0.813,0.007
0.342,0.812,0.007
0.343,0.812,0.007
0.344,0.812,0.007
0.346,0.812,0.007
0.347,0.811,0.007
0.348,0.809,0.007
0.349,0.809,0.007
0.350,0.809,0.007
0.352,0.808,0.007
0.355,0.808,0.007
0.358,0.808,0.007
0.360,0.808,0.007
0.361,0.807,0.007
0.363,0.806,0.007
0.372,0.806,0.006
0.373,0.805,0.006
0.375,0.805,0.006
0.376,0.805,0.006
0.377,0.805,0.006
0.379,0.805,0.006
0.382,0.805,0.006
0.383,0.805,0.006
0.385,0.803,0.006
0.386,0.803,0.006
0.387,0.803,0.006
0.388,0.803,0.006
0.390,0.801,0.006
0.391,0.800,0.006
0.392,0.800,0.006
0.394,0.799,0.006
0.396,0.799,0.006
0.397,0.798,0.006
0.402,0.798,0.005
0.404,0.798,0.005
0.407,0.798,0.005
0.411,0.798,0.005
0.415,0.793,0.005
0.417,0.793,0.005
0.418,0.792,0.005
0.425,0.792,0.005
0.427,0.792,0.005
0.433,0.792,0.005
0.434,0.792,0.005
0.436,0.792,0.005
0.437,0.791,0.005
0.438,0.791,0.005
0.439,0.790,0.005
0.440,0.790,0.005
0.441,0.788,0.005
0.443,0.785,0.005
0.445,0.785,0.005
0.446,0.785,0.005
0.448,0.783,0.005
0.451,0.783,0.005
0.459,0.782,0.005
0.460,0.782,0.004
0.462,0.782,0.004
0.463,0.781,0.004
0.464,0.778,0.004
0.467,0.778,0.004
0.468,0.777,0.004
0.472,0.777,0.004
0.475,0.777,0.004
0.476,0.776,0.004
0.477,0.776,0.004
0.478,0.775,0.004
0.482,0.775,0.004
0.484,0.773,0.004
0.490,0.773,0.004
0.492,0.772,0.004
0.495,0.772,0.004
0.497,0.770,0.004
0.499,0.769,0.004
0.500,0.769,0.004
0.501,0.768,0.004
0.506,0.768,0.004
0.507,0.768,0.004
0.514,0.768,0.004
0.517,0.767,0.004
0.522,0.767,0.004
0.524,0.767,0.004
0.526,0.767,0.004
0.529,0.766,0.004
0.531,0.766,0.004
0.533,0.765,0.003
0.535,0.765,0.003
