threshold,precision,recall
0.287,0.698,0.832
0.288,0.699,0.832
0.289,0.700,0.831
0.290,0.701,0.831
0.291,0.701,0.830
0.292,0.702,0.829
0.293,0.702,0.828
0.294,0.703,0.828
0.295,0.704,0.828
0.296,0.705,0.828
0.297,0.706,0.827
0.298,0.706,0.825
0.299,0.707,0.824
0.300,0.708,0.824
0.301,0.709,0.824
0.302,0.709,0.824
0.304,0.710,0.823
0.305,0.711,0.823
0.307,0.711,0.823
0.308,0.712,0.823
0.309,0.713,0.823
0.310,0.713,0.823
0.311,0.714,0.823
0.313,0.716,0.823
0.316,0.718,0.823
0.317,0.720,0.823
0.318,0.722,0.823
0.319,0.723,0.823
0.320,0.724,0.822
0.321,0.726,0.822
0.322,0.728,0.822
0.323,0.728,0.822
0.324,0.731,0.821
0.325,0.732,0.821
0.326,0.733,0.821
0.327,0.735,0.821
0.328,0.736,0.821
0.329,0.737,0.819
0.330,0.738,0.819
0.333,0.739,0.819
0.335,0.739,0.817
0.336,0.739,0.817
0.338,0.740,0.814
0.339,0.741,0.813
0.340,0.741,0.813
0.341,0.743,0.813
0.342,0.743,0.812
0.343,0.745,0.812
0.344,0.746,0.812
0.346,0.747,0.812
0.347,0.749,0.811
0.348,0.748,0.809
0.349,0.749,0.809
0.350,0.751,0.809
0.352,0.751,0.808
0.355,0.752,0.808
0.356,0.754,0.808
0.358,0.755,0.808
0.360,0.756,0.808
0.361,0.757,0.807
0.363,0.756,0.806
0.365,0.757,0.806
0.367,0.758,0.806
0.368,0.759,0.806
0.369,0.760,0.806
0.371,0.761,0.806
0.372,0.761,0.806
0.373,0.763,0.805
0.375,0.764,0.805
0.376,0.765,0.805
0.377,0.769,0.805
0.379,0.769,0.805
0.380,0.771,0.805
0.381,0.773,0.805
0.382,0.775,0.805
0.383,0.775,0.805
0.384,0.775,0.804
0.385,0.775,0.803
0.386,0.776,0.803
0.387,0.778,0.803
0.388,0.779,0.803
0.390,0.781,0.801
0.391,0.781,0.800
0.392,0.781,0.800
0.394,0.782,0.799
0.396,0.784,0.799
0.397,0.786,0.798
0.402,0.788,0.798
0.404,0.789,0.798
0.407,0.791,0.798
0.410,0.792,0.798
0.411,0.792,0.798
0.413,0.792,0.796
0.415,0.792,0.793
0.416,0.792,0.793
0.417,0.793,0.793
0.418,0.793,0.792
0.420,0.794,0.792
0.423,0.795,0.792
0.424,0.796,0.792
0.425,0.797,0.792
0.427,0.800,0.792
0.433,0.801,0.792
0.434,0.802,0.792
0.436,0.804,0.792
0.437,0.804,0.791
0.438,0.805,0.791
0.439,0.805,0.790
0.440,0.806,0.790
0.441,0.805,0.788
0.443,0.806,0.785
0.444,0.808,0.785
0.445,0.809,0.785
0.446,0.810,0.785
0.448,0.813,0.783
0.451,0.814,0.783
0.459,0.814,0.782
0.460,0.816,0.782
0.461,0.817,0.782
0.462,0.818,0.782
0.463,0.817,0.781
0.464,0.817,0.778
0.466,0.818,0.778
0.467,0.819,0.778
0.468,0.820,0.777
0.472,0.822,0.777
0.475,0.823,0.777
0.476,0.822,0.776
0.477,0.823,0.776
0.478,0.824,0.775
0.482,0.825,0.775
0.483,0.825,0.774
0.484,0.825,0.773
0.489,0.826,0.773
0.490,0.827,0.773
0.492,0.827,0.772
0.495,0.829,0.772
0.497,0.829,0.770
0.499,0.829,0.769
0.500,0.830,0.769
0.501,0.831,0.768
0.504,0.832,0.768
0.506,0.833,0.768
0.507,0.836,0.768
0.508,0.837,0.768
0.511,0.838,0.768
0.514,0.839,0.768
0.517,0.840,0.767
0.520,0.841,0.767
0.522,0.842,0.767
0.524,0.845,0.767
0.526,0.846,0.767
0.529,0.845,0.766
0.531,0.846,0.766
0.533,0.849,0.765
0.535,0.852,0.765
0.537,0.853,0.763
0.538,0.853,0.762
0.542,0.855,0.762
0.545,0.856,0.762
0.547,0.858,0.760
0.548,0.859,0.760
0.550,0.860,0.760
0.552,0.861,0.760
0.555,0.862,0.760
0.565,0.862,0.758
0.566,0.863,0.758
0.571,0.864,0.757
0.572,0.864,0.755
0.574,0.865,0.755
0.575,0.866,0.755
0.577,0.866,0.754
0.578,0.868,0.754
0.582,0.870,0.754
0.583,0.871,0.754
