threshold,iou
0.0000,0.2184
0.0100,0.2184
0.0200,0.2184
0.0300,0.2312
0.0400,0.2844
0.0500,0.2989
0.0600,0.3023
0.0700,0.3049
0.0800,0.3025
0.0900,0.3025
0.1000,0.3008
0.1100,0.3018
0.1200,0.3018
0.1300,0.3018
0.1400,0.3018
0.1500,0.3024
0.1600,0.3041
0.1700,0.3041
0.1800,0.3078
0.1900,0.3078
0.2000,0.3110
0.2100,0.3121
0.2200,0.3121
0.2300,0.3109
0.2400,0.3109
0.2500,0.3109
0.2600,0.3109
0.2700,0.3109
0.2800,0.3109
0.2900,0.3109
0.3000,0.3114
0.3100,0.3114
0.3200,0.3114
0.3300,0.3114
0.3400,0.3114
0.3500,0.3114
0.3600,0.3114
0.3700,0.3114
0.3800,0.3114
0.3900,0.3114
0.4000,0.3085
0.4100,0.3085
0.4200,0.3085
0.4300,0.3085
0.4400,0.3095
0.4500,0.3105
0.4600,0.3110
0.4700,0.3110
0.4800,0.3110
0.4900,0.3110
0.5000,0.3110
0.5100,0.3110
0.5200,0.3110
0.5300,0.3119
0.5400,0.3119
0.5500,0.3119
0.5600,0.3119
0.5700,0.3146
0.5800,0.3155
0.5900,0.3117
0.6000,0.3117
0.6100,0.3117
0.6200,0.3121
0.6300,0.3121
0.6400,0.3121
0.6500,0.3121
0.6600,0.3130
0.6700,0.3130
0.6800,0.3130
0.6900,0.3149
0.7000,0.3149
0.7100,0.3149
0.7200,0.3164
0.7300,0.3173
0.7400,0.3173
0.7500,0.3179
0.7600,0.3201
0.7700,0.3144
0.7800,0.3144
0.7900,0.3144
0.8000,0.3144
0.8100,0.3169
0.8200,0.3169
0.8300,0.3169
0.8400,0.3162
0.8500,0.3172
0.8600,0.3201
0.8700,0.3210
0.8800,0.3218
0.8900,0.3250
0.9000,0.3157
0.9100,0.2445
0.9200,0.1503
0.9300,0.0549
0.9400,0.0169
0.9500,0.0112
0.9600,0.0112
0.9700,0.0052
0.9800,0.0075
0.9900,0.0000
1.0000,0.0000
