recording,iou_max,iou_0.60,iou_0.80
N100056,0.7917,0.7917,0.5833
N106834-edited,0.8667,0.8786,0.8250
N128080,0.5111,0.5000,0.5944
N16767-edited,0.9000,0.7924,0.8963
N22158-edited,0.8869,0.6497,0.9267
N22971-edited,0.7278,0.7306,0.6992
N23417-edited,0.8098,0.8376,0.8333
N23493-edited,0.6400,0.6733,0.5400
N250512,0.5778,0.5972,0.6667
N3568,0.8516,0.8516,0.9231
N37429,0.4621,0.3510,0.3833
N38268,0.8889,0.8956,0.9213
N38516,0.8800,0.8385,0.8733
N39306,0.8977,0.8137,0.8802
N41312-edited,0.8333,0.8571,0.7500
N41564,0.7500,0.5476,0.3333
N44587-edited,0.5000,0.6111,0.4444
N460551,0.3667,0.1569,0.5333
N488610,0.7917,0.7125,0.7083
N500951,0.6667,0.8333,0.5000
N6682-edited,0.9410,0.6533,0.7812
N737290,0.5500,0.3873,0.6667
N98507,0.7222,0.6944,0.5000
XC109766,0.9545,0.9167,0.7468
XC109767,0.9441,0.9661,0.8278
XC109769,0.9431,0.9444,0.9320
XC114554,1.0000,1.0000,0.8750
XC134014-edited,0.4683,0.3492,0.3968
XC144024,0.6667,0.5000,0.6667
XC159959,0.6881,0.7298,0.5333
XC172881,0.5714,0.4545,0.5000
XC215372,0.8889,0.6667,0.7222
XC271361,0.2667,0.2667,0.2000
XC801172-edited,0.9167,0.9583,0.9167
XC812929,0.4818,0.6879,0.3133
