recording,iou_max,iou_0.60,iou_0.80
N100056,0.7083,0.7083,0.5000
N106834-edited,0.8310,0.7833,0.8667
N128080,0.5227,0.5111,0.5000
N16767-edited,0.9630,0.9259,0.8889
N22158-edited,0.8862,0.8423,0.8990
N22971-edited,0.6742,0.6778,0.6520
N23417-edited,0.8833,0.8598,0.8111
N23493-edited,0.7067,0.7400,0.6067
N250512,0.6806,0.5139,0.6667
N3568,0.9583,0.9199,0.9167
N37429,0.8750,0.5833,0.6250
N38268,0.9583,0.8926,0.9213
N38516,0.8992,0.9051,0.8933
N39306,0.9108,0.9130,0.9229
N41312-edited,0.8333,0.7738,0.7500
N41564,0.8333,0.6333,0.3333
N44587-edited,0.5556,0.5556,0.4444
N460551,1.0000,0.8750,0.8750
N488610,0.8542,0.8542,0.6250
N500951,0.5000,0.5000,0.5000
N6682-edited,0.9062,0.9722,0.7812
N737290,0.5667,0.4881,0.7333
N98507,0.8889,0.8889,0.7778
XC109766,0.9583,0.9583,0.9167
XC109767,0.9594,0.9359,0.9177
XC109769,0.9777,0.7831,0.9331
XC114554,1.0000,1.0000,1.0000
XC134014-edited,0.4571,0.5786,0.3968
XC144024,0.6667,0.6667,0.6667
XC159959,0.7655,0.8012,0.7179
XC172881,0.5556,0.6667,0.8333
XC215372,0.6111,0.6111,0.4444
XC271361,0.2667,0.2667,0.1667
XC801172-edited,0.9107,0.9583,0.7659
XC812929,0.7605,0.4697,0.4661
