threshold,precision,recall
0.017,0.025,1.000
0.018,0.025,1.000
0.019,0.025,1.000
0.020,0.025,1.000
0.021,0.025,1.000
0.022,0.025,1.000
0.023,0.025,1.000
0.024,0.025,1.000
0.025,0.025,1.000
0.026,0.025,1.000
0.027,0.026,1.000
0.028,0.026,1.000
0.029,0.027,1.000
0.030,0.028,1.000
0.031,0.029,1.000
0.032,0.030,1.000
0.033,0.032,0.999
0.034,0.034,0.998
0.035,0.037,0.995
0.036,0.041,0.994
0.037,0.044,0.993
0.038,0.049,0.993
0.039,0.053,0.993
0.040,0.058,0.993
0.041,0.063,0.991
0.042,0.069,0.991
0.043,0.074,0.990
0.044,0.080,0.987
0.045,0.086,0.985
0.046,0.092,0.984
0.047,0.098,0.982
0.048,0.103,0.979
0.049,0.108,0.977
0.050,0.114,0.974
0.051,0.119,0.971
0.052,0.125,0.971
0.053,0.130,0.971
0.054,0.136,0.971
0.055,0.143,0.970
0.056,0.149,0.970
0.057,0.153,0.969
0.058,0.159,0.969
0.059,0.165,0.969
0.060,0.171,0.969
0.061,0.177,0.969
0.062,0.183,0.969
0.063,0.188,0.969
0.064,0.192,0.968
0.065,0.195,0.968
0.066,0.200,0.967
0.067,0.205,0.967
0.068,0.209,0.967
0.069,0.214,0.966
0.070,0.218,0.964
0.071,0.223,0.964
0.072,0.227,0.964
0.073,0.231,0.964
0.074,0.236,0.964
0.075,0.241,0.964
0.076,0.246,0.964
0.077,0.250,0.964
0.078,0.254,0.964
0.079,0.259,0.964
0.080,0.263,0.964
0.081,0.267,0.964
0.082,0.270,0.964
0.083,0.275,0.963
0.084,0.279,0.963
0.085,0.283,0.963
0.086,0.287,0.961
0.087,0.290,0.960
0.088,0.293,0.960
0.089,0.298,0.960
0.090,0.302,0.960
0.091,0.305,0.960
0.092,0.310,0.960
0.093,0.313,0.960
0.094,0.316,0.959
0.095,0.319,0.959
0.096,0.323,0.959
0.097,0.327,0.959
0.098,0.330,0.958
0.099,0.335,0.958
0.100,0.338,0.955
0.101,0.341,0.955
0.102,0.344,0.955
0.103,0.349,0.955
0.104,0.352,0.955
0.105,0.356,0.954
0.106,0.359,0.953
0.107,0.363,0.953
0.108,0.367,0.953
0.109,0.369,0.953
0.110,0.372,0.953
0.111,0.373,0.952
0.112,0.377,0.951
0.113,0.380,0.951
0.114,0.383,0.951
0.115,0.385,0.951
0.116,0.389,0.951
0.117,0.392,0.951
0.118,0.395,0.951
0.119,0.398,0.951
0.120,0.400,0.951
0.121,0.405,0.951
0.122,0.407,0.951
0.123,0.409,0.951
0.124,0.412,0.951
0.125,0.414,0.949
0.126,0.417,0.948
0.127,0.419,0.948
0.128,0.422,0.947
0.129,0.424,0.947
0.130,0.426,0.947
0.131,0.428,0.946
0.132,0.431,0.946
0.133,0.434,0.946
0.134,0.438,0.946
0.135,0.441,0.946
0.136,0.445,0.946
0.137,0.447,0.946
0.138,0.449,0.946
0.139,0.451,0.946
0.140,0.453,0.946
0.141,0.456,0.946
0.142,0.459,0.945
0.143,0.460,0.945
0.144,0.462,0.945
0.145,0.464,0.945
0.146,0.467,0.945
0.147,0.469,0.945
0.148,0.470,0.944
0.149,0.473,0.944
0.150,0.475,0.944
0.151,0.478,0.944
0.152,0.480,0.944
0.153,0.483,0.943
0.154,0.486,0.943
0.155,0.489,0.943
0.156,0.490,0.941
0.157,0.491,0.941
0.158,0.493,0.941
0.159,0.495,0.941
0.160,0.496,0.939
0.161,0.498,0.938
0.162,0.500,0.938
0.163,0.503,0.938
0.164,0.504,0.938
0.165,0.505,0.937
0.166,0.507,0.937
0.167,0.509,0.936
0.168,0.512,0.936
0.169,0.514,0.936
0.170,0.515,0.936
0.171,0.517,0.936
0.172,0.518,0.936
0.173,0.522,0.936
0.174,0.522,0.936
0.175,0.523,0.935
0.176,0.524,0.933
0.177,0.526,0.933
