threshold,iou
0.0000,0.2381
0.0100,0.2393
0.0200,0.2336
0.0300,0.1907
0.0400,0.2500
0.0500,0.2905
0.0600,0.3183
0.0700,0.3326
0.0800,0.3393
0.0900,0.3557
0.1000,0.3692
0.1100,0.3785
0.1200,0.3858
0.1300,0.3862
0.1400,0.4011
0.1500,0.4013
0.1600,0.4014
0.1700,0.3999
0.1800,0.4045
0.1900,0.4008
0.2000,0.3974
0.2100,0.3975
0.2200,0.3996
0.2300,0.3960
0.2400,0.3967
0.2500,0.3929
0.2600,0.3900
0.2700,0.3911
0.2800,0.3892
0.2900,0.3931
0.3000,0.3916
0.3100,0.3916
0.3200,0.3951
0.3300,0.3951
0.3400,0.3958
0.3500,0.3926
0.3600,0.3896
0.3700,0.3902
0.3800,0.3871
0.3900,0.3827
0.4000,0.3793
0.4100,0.3898
0.4200,0.3902
0.4300,0.3935
0.4400,0.3901
0.4500,0.3903
0.4600,0.3903
0.4700,0.3973
0.4800,0.3973
0.4900,0.4069
0.5000,0.4084
0.5100,0.4084
0.5200,0.4092
0.5300,0.4097
0.5400,0.4071
0.5500,0.4041
0.5600,0.3998
0.5700,0.3962
0.5800,0.4034
0.5900,0.4003
0.6000,0.3958
0.6100,0.3917
0.6200,0.3897
0.6300,0.3844
0.6400,0.3819
0.6500,0.3805
0.6600,0.3805
0.6700,0.3801
0.6800,0.3833
0.6900,0.3872
0.7000,0.3843
0.7100,0.3836
0.7200,0.3779
0.7300,0.3788
0.7400,0.3809
0.7500,0.3845
0.7600,0.3864
0.7700,0.3845
0.7800,0.3910
0.7900,0.3878
0.8000,0.3897
0.8100,0.3849
0.8200,0.3819
0.8300,0.3760
0.8400,0.3747
0.8500,0.3736
0.8600,0.3641
0.8700,0.3427
0.8800,0.3305
0.8900,0.3124
0.9000,0.2734
0.9100,0.2473
0.9200,0.2119
0.9300,0.1656
0.9400,0.1202
0.9500,0.0890
0.9600,0.0694
0.9700,0.0376
0.9800,0.0064
0.9900,0.0017
1.0000,0.0000
