recording,iou_max,iou_0.60,iou_0.80
N100056,0.8167,0.8167,0.5333
N106834-edited,0.8452,0.8036,0.8750
N128080,0.8700,0.9200,0.8300
N16767-edited,0.9259,0.9296,0.9259
N22158-edited,0.8990,0.9505,0.8712
N22971-edited,0.6770,0.7528,0.6770
N23417-edited,0.9111,0.9444,0.8778
N23493-edited,0.7800,0.7933,0.6800
N250512,0.8889,0.8889,0.6667
N3568,0.9167,0.9583,0.8333
N37429,0.6667,0.6250,0.5833
N38268,0.8926,0.9296,0.8583
N38516,0.9178,0.7481,0.9356
N39306,0.9394,0.9264,0.9240
N41312-edited,0.8333,0.8333,0.8333
N41564,1.0000,0.8333,0.5833
N44587-edited,0.6111,0.6111,0.5556
N460551,0.6250,0.5833,0.7917
N488610,0.7083,0.7083,0.6250
N500951,0.6667,0.6111,0.7222
N6682-edited,0.7812,0.8438,0.7500
N737290,0.7333,0.8667,0.8000
N98507,0.8889,0.8889,0.7778
XC109766,0.8958,0.8472,0.8958
XC109767,0.9074,0.8470,0.9176
XC109769,0.9491,0.8715,0.9777
XC114554,0.8000,0.8000,1.0000
XC134014-edited,0.3968,0.3857,0.3968
XC144024,0.6667,0.6667,0.6667
XC159959,0.6464,0.7595,0.5393
XC172881,0.8333,0.7143,0.6667
XC215372,0.7778,0.7222,0.8889
XC271361,0.4444,0.3944,0.2500
XC801172-edited,0.8690,0.8690,0.8135
XC812929,0.7179,0.7179,0.4905
