recording,iou_max,iou_0.60,iou_0.80
N100056,0.7917,0.8167,0.6667
N106834-edited,0.9167,0.8929,0.8250
N128080,0.8695,0.5590,0.8867
N16767-edited,0.9667,0.9296,0.9296
N22158-edited,0.9286,0.8857,0.9286
N22971-edited,0.6992,0.7083,0.6520
N23417-edited,0.8535,0.8932,0.8535
N23493-edited,0.7133,0.8200,0.6800
N250512,0.6667,0.5778,0.6667
N3568,0.9583,0.9231,0.9167
N37429,0.6667,0.6000,0.7083
N38268,0.8956,0.8623,0.8889
N38516,0.9156,0.8473,0.8933
N39306,0.8967,0.9140,0.8800
N41312-edited,0.8333,0.9167,0.7500
N41564,0.8333,0.6333,0.3333
N44587-edited,0.6667,0.7222,0.5556
N460551,0.7500,0.3833,0.8750
N488610,0.7083,0.8000,0.7083
N500951,0.3889,0.2778,0.3889
N6682-edited,0.8750,0.9444,0.7812
N737290,0.6389,0.4619,0.6389
N98507,0.8889,0.8333,0.6667
XC109766,0.9545,0.9583,0.8182
XC109767,0.9094,0.9654,0.8132
XC109769,0.9549,0.9777,0.9320
XC114554,1.0000,0.8889,0.8750
XC134014-edited,0.5238,0.4625,0.4683
XC144024,0.6667,1.0000,0.6667
XC159959,0.7714,0.9286,0.7298
XC172881,0.7143,0.6250,0.7143
XC215372,0.8889,0.7778,0.7222
XC271361,0.5056,0.7000,0.3111
XC801172-edited,0.9583,0.9583,0.9583
XC812929,0.7179,0.8310,0.3988
