recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,0.8250,0.8250,0.7417
N128080,0.8933,0.8362,0.8200
N16767-edited,1.0000,0.9667,0.8889
N22158-edited,0.9286,0.9524,0.8474
N22971-edited,0.7278,0.7278,0.6520
N23417-edited,0.9111,0.8561,0.8444
N23493-edited,0.6800,0.6800,0.6067
N250512,0.8889,0.9167,0.6667
N3568,0.9583,0.9583,0.9167
N37429,0.9167,0.7083,0.7500
N38268,0.9250,0.9250,0.9213
N38516,0.9356,0.9156,0.8861
N39306,0.9383,0.9537,0.8932
N41312-edited,0.8333,0.8333,0.5833
N41564,0.8333,0.8333,0.3333
N44587-edited,0.5556,0.6111,0.5556
N460551,1.0000,1.0000,0.8750
N488610,0.8542,0.8542,0.6250
N500951,0.7778,0.7778,0.5000
N6682-edited,0.9062,0.9062,0.7500
N737290,0.8000,0.8000,0.7333
N98507,0.8889,0.8889,0.7778
XC109766,0.9583,0.9583,0.9545
XC109767,0.9428,0.9428,0.8833
XC109769,0.9777,0.9491,0.9431
XC114554,1.0000,1.0000,0.7500
XC134014-edited,0.5071,0.5071,0.3968
XC144024,0.6667,0.6667,0.6667
XC159959,0.8071,0.8071,0.6048
XC172881,0.7143,0.7143,0.8333
XC215372,0.6667,0.7778,0.6111
XC271361,0.2000,0.2000,0.2500
XC801172-edited,0.9583,0.9583,0.8135
XC812929,0.7536,0.7536,0.5464
