threshold,iou
0.0000,0.2381
0.0100,0.2381
0.0200,0.2344
0.0300,0.2068
0.0400,0.2197
0.0500,0.2992
0.0600,0.3372
0.0700,0.4024
0.0800,0.4141
0.0900,0.4036
0.1000,0.4209
0.1100,0.4549
0.1200,0.4818
0.1300,0.5082
0.1400,0.5072
0.1500,0.5037
0.1600,0.5362
0.1700,0.5364
0.1800,0.5690
0.1900,0.5582
0.2000,0.5745
0.2100,0.5906
0.2200,0.6190
0.2300,0.6333
0.2400,0.6380
0.2500,0.6418
0.2600,0.6583
0.2700,0.6729
0.2800,0.6684
0.2900,0.6847
0.3000,0.6908
0.3100,0.6915
0.3200,0.7006
0.3300,0.7045
0.3400,0.7054
0.3500,0.7246
0.3600,0.7295
0.3700,0.7287
0.3800,0.7368
0.3900,0.7304
0.4000,0.7530
0.4100,0.7732
0.4200,0.7826
0.4300,0.7873
0.4400,0.7915
0.4500,0.7941
0.4600,0.7977
0.4700,0.8004
0.4800,0.8000
0.4900,0.8064
0.5000,0.8101
0.5100,0.8063
0.5200,0.8119
0.5300,0.8107
0.5400,0.8145
0.5500,0.8068
0.5600,0.8143
0.5700,0.8243
0.5800,0.8214
0.5900,0.8227
0.6000,0.8333
0.6100,0.8363
0.6200,0.8320
0.6300,0.8408
0.6400,0.8358
0.6500,0.8329
0.6600,0.8297
0.6700,0.8236
0.6800,0.8219
0.6900,0.8231
0.7000,0.8216
0.7100,0.8174
0.7200,0.8126
0.7300,0.8045
0.7400,0.7945
0.7500,0.7813
0.7600,0.7705
0.7700,0.7658
0.7800,0.7574
0.7900,0.7472
0.8000,0.7308
0.8100,0.7149
0.8200,0.7091
0.8300,0.6927
0.8400,0.6857
0.8500,0.6767
0.8600,0.6653
0.8700,0.6578
0.8800,0.6374
0.8900,0.6057
0.9000,0.5891
0.9100,0.5434
0.9200,0.4594
0.9300,0.3692
0.9400,0.2479
0.9500,0.1419
0.9600,0.0583
0.9700,0.0210
0.9800,0.0081
0.9900,0.0000
1.0000,0.0000
