class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.983,0.999,0.966,0.875,32,28.0,1.0
ALFL,0.989,0.999,1.000,0.826,46,38.0,0.0
AMBI,0.689,0.937,1.000,0.556,9,5.0,0.0
AMCR,0.863,0.992,0.929,0.520,25,13.0,1.0
AMRO,0.956,0.999,1.000,0.667,12,8.0,0.0
BADO,1.000,1.000,1.000,0.864,22,19.0,0.0
BBWA,1.000,1.000,1.000,0.333,6,2.0,0.0
BCCH,0.903,0.998,0.800,0.800,10,8.0,2.0
BEKI,0.895,0.993,1.000,0.625,8,5.0,0.0
BLJA,0.950,0.998,1.000,0.500,20,10.0,0.0
BRCR,0.822,0.996,0.750,0.429,14,6.0,2.0
BTNW,0.958,0.999,1.000,0.737,19,14.0,0.0
CANG,0.872,0.999,0.800,0.667,6,4.0,1.0
CEDW,0.811,0.992,0.909,0.435,23,10.0,1.0
CHSP,0.895,0.983,1.000,0.556,54,30.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.943,0.997,1.000,0.818,22,18.0,0.0
DEJU,0.728,0.980,0.727,0.727,11,8.0,3.0
EAKI,1.000,1.000,1.000,0.857,7,6.0,0.0
EATO,0.944,0.999,1.000,0.636,11,7.0,0.0
EAWP,0.990,1.000,1.000,0.767,30,23.0,0.0
FISP,0.994,1.000,1.000,0.750,12,9.0,0.0
GCKI,0.928,0.991,1.000,0.417,12,5.0,0.0
GHOW,0.736,0.952,1.000,0.286,28,8.0,0.0
HETH,0.670,0.947,0.889,0.186,43,8.0,1.0
NHWR,1.000,1.000,1.000,0.889,9,8.0,0.0
NOCA,0.986,0.999,1.000,0.739,23,17.0,0.0
NOFL,0.967,0.999,0.900,0.900,10,9.0,1.0
OVEN,0.991,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,1.000,1.000,1.000,0.615,13,8.0,0.0
RWBL,0.965,0.996,1.000,0.622,37,23.0,0.0
SWSP,0.860,0.984,1.000,0.462,39,18.0,0.0
SWTH,0.983,1.000,0.833,1.000,10,10.0,2.0
TEWA,0.923,0.992,1.000,0.500,46,23.0,0.0
TRUS,1.000,1.000,1.000,0.375,8,3.0,0.0
VEER,0.887,0.999,1.000,0.250,4,1.0,0.0
WAVI,0.894,0.998,0.857,0.600,10,6.0,1.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.903,0.992,1.000,0.581,31,18.0,0.0
WIWA,0.924,0.998,0.800,0.889,9,8.0,2.0
WIWR,1.000,1.000,1.000,0.970,33,32.0,0.0
WOTH,0.950,1.000,1.000,0.500,4,2.0,0.0
WTSP,0.890,0.989,1.000,0.372,43,16.0,0.0
YEWA,0.857,0.996,1.000,0.438,16,7.0,0.0
