recording,iou_max,iou_0.60,iou_0.80
N100056,0.7917,1.0000,0.6667
N106834-edited,0.9583,0.7429,0.8667
N128080,0.4881,0.4844,0.5214
N16767-edited,0.9296,0.9296,0.8593
N22158-edited,0.8857,0.8472,0.9029
N22971-edited,0.6861,0.6861,0.6992
N23417-edited,0.7897,0.8175,0.8778
N23493-edited,0.7467,0.7467,0.6800
N250512,0.6806,0.5104,0.6667
N3568,0.8846,0.8516,0.9583
N37429,0.6667,0.5667,0.7083
N38268,0.9583,0.9259,0.9213
N38516,0.9000,0.9000,0.8933
N39306,0.9010,0.8886,0.8791
N41312-edited,0.8333,0.8333,0.8333
N41564,0.5000,0.3810,0.5833
N44587-edited,0.6111,0.6111,0.4444
N460551,0.5917,0.4667,0.8750
N488610,0.7917,0.7292,0.6250
N500951,0.8333,0.8333,0.5000
N6682-edited,0.9722,0.7010,0.7812
N737290,0.7524,0.6825,0.6667
N98507,0.8889,0.8889,0.6667
XC109766,1.0000,1.0000,0.8636
XC109767,0.9676,0.9494,0.8622
XC109769,0.9040,0.9310,0.9431
XC114554,1.0000,0.8889,0.8750
XC134014-edited,0.5071,0.5071,0.4683
XC144024,0.6667,0.6667,0.6667
XC159959,0.7738,0.8095,0.5631
XC172881,0.6250,0.5556,0.7143
XC215372,0.7778,0.6667,0.5556
XC271361,0.4778,0.5444,0.4444
XC801172-edited,0.9583,0.9107,0.9028
XC812929,0.7134,0.6243,0.6179
