class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.998,1.000,0.969,0.969,32,31.0,1.0
ALFL,0.990,0.999,1.000,0.826,46,38.0,0.0
AMBI,0.782,0.996,1.000,0.333,9,3.0,0.0
AMCR,0.833,0.992,1.000,0.480,25,12.0,0.0
AMRO,0.944,0.999,1.000,0.750,12,9.0,0.0
BADO,0.964,0.999,0.864,0.864,22,19.0,3.0
BBWA,0.852,0.998,1.000,0.500,6,3.0,0.0
BCCH,0.863,0.998,0.750,0.900,10,9.0,3.0
BEKI,0.897,0.994,1.000,0.750,8,6.0,0.0
BLJA,0.943,0.997,0.938,0.750,20,15.0,1.0
BRCR,0.903,0.999,0.824,1.000,14,14.0,3.0
BTNW,0.957,0.997,1.000,0.895,19,17.0,0.0
CANG,0.873,0.999,0.857,1.000,6,6.0,1.0
CEDW,0.915,0.996,1.000,0.696,23,16.0,0.0
CHSP,0.955,0.979,1.000,0.685,54,37.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.987,1.000,1.000,0.818,22,18.0,0.0
DEJU,0.798,0.993,0.800,0.727,11,8.0,2.0
EAKI,0.962,1.000,0.857,0.857,7,6.0,1.0
EATO,0.984,1.000,0.909,0.909,11,10.0,1.0
EAWP,0.994,1.000,0.964,0.900,30,27.0,1.0
FISP,0.961,0.999,1.000,0.750,12,9.0,0.0
GCKI,0.935,0.998,1.000,0.500,12,6.0,0.0
GHOW,0.903,0.993,1.000,0.464,28,13.0,0.0
HETH,0.604,0.847,0.917,0.256,43,11.0,1.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.984,0.999,1.000,0.913,23,21.0,0.0
NOFL,0.959,0.999,0.889,0.800,10,8.0,1.0
OVEN,0.983,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.982,1.000,1.000,0.538,13,7.0,0.0
RWBL,0.941,0.987,0.900,0.730,37,27.0,3.0
SWSP,0.875,0.989,1.000,0.487,39,19.0,0.0
SWTH,0.901,0.999,0.833,1.000,10,10.0,2.0
TEWA,0.854,0.943,1.000,0.543,46,25.0,0.0
TRUS,0.921,0.999,0.833,0.625,8,5.0,1.0
VEER,0.917,0.999,1.000,0.500,4,2.0,0.0
WAVI,0.909,0.997,1.000,0.500,10,5.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.928,0.994,1.000,0.645,31,20.0,0.0
WIWA,0.972,1.000,1.000,0.889,9,8.0,0.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.899,0.989,1.000,0.488,43,21.0,0.0
YEWA,0.960,0.999,1.000,0.562,16,9.0,0.0
