recording,iou_max,iou_0.60,iou_0.80
N100056,0.6250,0.9167,0.5000
N106834-edited,0.7833,0.8250,0.7833
N128080,0.6312,0.5227,0.6065
N16767-edited,0.9259,0.8222,0.8889
N22158-edited,0.7875,0.8028,0.8571
N22971-edited,0.6742,0.5827,0.6520
N23417-edited,0.8561,0.8098,0.8778
N23493-edited,0.7467,0.7800,0.6400
N250512,0.6806,0.5000,0.4444
N3568,0.9583,0.8516,0.9167
N37429,0.8750,0.5667,0.6250
N38268,0.9583,0.9280,0.9213
N38516,0.9156,0.8992,0.8711
N39306,0.8568,0.8304,0.8932
N41312-edited,0.8333,0.8333,0.7500
N41564,1.0000,0.5833,0.3333
N44587-edited,0.5556,0.6667,0.3333
N460551,1.0000,0.6333,0.8750
N488610,0.6250,0.8542,0.6250
N500951,0.8333,0.8333,0.5000
N6682-edited,0.8160,0.7860,0.7500
N737290,0.7467,0.7119,0.6667
N98507,0.8889,0.8889,0.7778
XC109766,0.9167,0.9583,0.9091
XC109767,0.9399,0.9524,0.9024
XC109769,0.9456,0.9444,0.9431
XC114554,1.0000,0.8889,0.8750
XC134014-edited,0.5286,0.6500,0.3968
XC144024,0.6667,1.0000,0.6667
XC159959,0.8369,0.9643,0.7952
XC172881,0.6250,0.4545,0.8333
XC215372,0.6111,0.7778,0.6111
XC271361,0.2500,0.5556,0.1667
XC801172-edited,0.9583,0.9583,0.9107
XC812929,0.6883,0.8278,0.6262
