recording,TP count,FP count,FN count
file001,17.0,0.0,5.0
file002,16.0,0.0,4.0
file003,18.0,2.0,24.0
file004,22.0,0.0,2.0
file005,13.0,0.0,5.0
file006,19.0,0.0,3.0
file007,6.0,0.0,2.0
file008,12.0,2.0,2.0
file009,9.0,0.0,9.0
file010,6.0,0.0,0.0
file011,5.0,0.0,1.0
file012,15.0,1.0,5.0
file013,2.0,1.0,1.0
file014,5.0,0.0,1.0
file015,1.0,0.0,2.0
file016,9.0,0.0,2.0
file017,4.0,0.0,2.0
file018,1.0,0.0,2.0
file019,1.0,0.0,2.0
file020,5.0,0.0,0.0
file021,6.0,1.0,8.0
file022,3.0,0.0,1.0
file023,2.0,0.0,1.0
file024,7.0,0.0,0.0
file025,0.0,0.0,6.0
file026,5.0,0.0,5.0
file027,1.0,0.0,0.0
file028,2.0,0.0,2.0
file029,4.0,0.0,5.0
file030,5.0,0.0,0.0
file031,3.0,0.0,0.0
file032,9.0,0.0,2.0
file033,3.0,0.0,1.0
file034,4.0,0.0,1.0
file035,4.0,0.0,24.0
file036,32.0,1.0,1.0
file037,8.0,1.0,15.0
file038,2.0,0.0,0.0
file039,3.0,0.0,1.0
file040,14.0,1.0,8.0
file041,8.0,0.0,0.0
file042,4.0,0.0,0.0
file043,5.0,0.0,1.0
file044,2.0,0.0,1.0
file045,17.0,0.0,2.0
file046,2.0,0.0,10.0
file047,2.0,0.0,4.0
file048,4.0,0.0,0.0
file049,43.0,0.0,16.0
file050,27.0,0.0,38.0
file051,10.0,2.0,9.0
file052,26.0,0.0,29.0
file053,8.0,1.0,28.0
file054,1.0,0.0,2.0
file055,4.0,0.0,5.0
file056,6.0,0.0,0.0
file057,2.0,0.0,1.0
file058,0.0,0.0,1.0
file059,4.0,0.0,2.0
file060,5.0,0.0,0.0
file061,5.0,0.0,0.0
file062,6.0,0.0,0.0
file063,9.0,0.0,4.0
file064,8.0,0.0,0.0
file065,4.0,0.0,0.0
file067,5.0,0.0,3.0
file068,2.0,0.0,3.0
file069,7.0,0.0,0.0
file070,1.0,0.0,3.0
file071,4.0,0.0,4.0
file072,10.0,0.0,6.0
